"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Accountant","Accounting Finance","Hasan International","01","Closely monitor and operate all payments and expenditure
Preparing and maintaining cheque register, asset register and Vat & Tax register etc.
Individual must be able to examine and prepare all journal vouchers and other documents related with accounts
Preparing and maintaining all the vouchers and bills requisition timely
Manage petty cash and verify the bill voucher of petty cash expenses
Identify variances in actual expenditure and the budget
Prepare financial report & budget variance report as per need
Any other responsibilities assigned by the Management","Closely monitor and operate all payments and expenditure","Full-time","Bachelor of Business Administration (BBA) in Major in Accounting, Master of Business Administration (MBA) in Major in Accounting.","Age at least 25 years","Dhaka (Wari)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"General Manager- Head of Internal Audit","Accounting Finance","Deshbandhu Group","Not specific","Policy assurance: Policies which are approved by competent authorities are being complied.Quality assurance: Quality assurance parameters are maintained across the processes, functions and group organizations.Prepare Audit plan, SOP and implementation across the group accordingly.Contribution in good governance across the group.Review organizational policy to achieve value for money and the prevention and detection of fraud and corruption.Provide advice on proposed developments such as major new systems and proposed initiatives to help ensure risks are properly identified and evaluated and appropriate controls built in.Plan and conduct audit to assess internal control in operation, analyzing existing controls and recommends controlling in specific organization systems.Identify instances of over and under control and provide management with a clear articulation of residual risksPerform and control the full audit cycle including risk management and control management over operations effectiveness, financial reliability and compliance with all applicable directives and regulationsDetermine internal audit scope and develop annual plans consultation with the managementObtain, analyze and evaluate accounting documentation, previous reports, data, flowcharts etcPrepare and present reports that reflect audit results and document processAct as an objective source of independent advice to ensure validity, legality and goal achievementIdentify loopholes and recommend risk aversion measures and cost savingsMaintain open communication with management and audit committeeDocument process and prepare audit findings memorandumConduct follow up audits to monitor management interventionsEngage to continuous knowledge development regarding sector rules, regulations, best practices, tools, techniques and performance standardsPerform any other responsibilities as per instruction by the management.","Policy assurance: Policies which are approved by competent authorities are being complied.","Full-time","B. Com (Hons), M. Com. (Accounts/ Finance) with CA (Inter)/CA (CC)","Age 30 to 47 years","Dhaka (Banani)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive / Sr. Executive (Tax & VAT)","Accounting Finance","Rosh Ltd","Not specific","We are searching for a perceptive, creative Tax & VAT Officer to oversee our factory, showroom, import & export operations. The Tax & VAT Officer will train all the respective staff, develop, review and improve policies, systems and procedures and generally ensuring the Tax & VAT smoothly and efficiently.","Maintaining and recording of transactions in accounting systems;","Full-time","Bachelor of Business Administration (BBA) in Finance and Accounting, Master of Business Administration (MBA) in Finance and Accounting","Age 28 to 35 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Project Accountant","Accounting Finance","Centre for Disability in Development (CDD)","01","The Centre for Disability in Development (CDD) is a not for profit organization established in 1996 to develop a more inclusive society for persons with disabilities. CDD simultaneously builds technical capacities of the development stakeholders and the communities in how to be more inclusive whilst also enabling persons with a disability to participate in society by strengthening their leadership and providing them with essential rehabilitation and other supports.
CDD is one of the most renowned organizations in the field of disability-inclusive development. CDD`s work in Bangladesh is supported by international and national donor agencies/development partners. CDD offers an inclusive, amicable, and respectable work environment.
The Ramon Magsaysay Award (Asian version of the Noble prize) has been awarded to its Executive Director in 2010. In 2018, CDD was recognized by the Government of Bangladesh as one of the best organizations working on disability and development issues.
CDD Office is now accepting applications for Monitoring, Evaluation, Accountability and Learning (MEAL) Officer.
CDD Office is now accepting applications for the Project of ""Ensuring the overall well-being and resilience of Rohingya and host community in a protected environment where children can learn and thrive"" Supported by AHP. The contract duration of the position is upto December 2023, high possibility to extend (subject to Fund availability and NGO Affairs Bureau Approval).","The Centre for Disability in Development (CDD) is a not for profit organization established in 1996 to develop a more inclusive society for persons with disabilities. CDD simultaneously builds technical capacities of the development stakeholders and the communities in how to be more inclusive whilst also enabling persons with a disability to participate in society by strengthening their leadership and providing them with essential rehabilitation and other supports.","Full-time, Contractual","Bachelor degree in Accounting, Finance or business background","Age at most 45 years","Cox's Bazar (Ukhia)","Tk. 60000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Accounts Executive (VAT & TAX)","Accounting Finance","Fashion Group.","2","This is a corporate-based position & the Job Location will be Dhaka. The selected incumbents need to perform day to Accounts, VAT & TAX activities in selected departments and to be field movement due to accounts & collection purpose associates under the head office of the Company","Handle of all Tax & VAT related matters of the company.","Full-time","Master of Commerce (MCom)","Age 23 to 35 years","Anywhere in Bangladesh","As per company policy""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"ACCOUNTANT (MALE)","Accounting Finance","একটি স্বনামধন্য ও সুপ্রতিষ্ঠিত শিপিং ও লজিস্টিক কোম্পানি","Not specific","একটি স্বনামধন্য ও সুপ্রতিষ্ঠিত শিপিং কোম্পানিতে নিম্ন লিখিত পদে কিছু সংখ্যক লোক নিয়োগ করা হবে।","","Full-time","CA-CC","Age at most 45 years","চট্টগ্রাম","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Officer Vat & Tax","Accounting Finance","A 100% export oriented multinational garments Manufacturing Company","01","A 100% export oriented multinational garments manufacturing company located in CEPZ is looking for -""OFFICER"" VAT & TAX","The candidate must be able to handle all VAT & Tax related works of the company independently in a timely manner","Full-time","Bachelor in Accounting or Finance from a reputed university.","Age at most 35 years","Chattogram (Chittagong Epz)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Asst.Officer-Accounts & Finance","Accounting Finance","Youngone Materials","Not specific","We are seeking confident applicant for Accounts & Finance","Assist in conducting all banking related tasks, regular communications and maintaining all bank transactions","Full-time","Master of Commerce (MCom) in Accounting","Age 25 to 32 years","Chattogram","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive - LC Verification","Accounting Finance","Walton Hi-Tech Industries PLC.","7","Check & verify all documents comply with the terms and conditions of the Letter of Credit, Import procedure, international trade regulations, and company policies.Pre-imported documents undergo thorough scrutiny together with historical data analysis for price assumptions from various comparative statements.A comprehensive understanding of the conditions and terms of letters of credit provided by banks or other financial institutions.Make sure that any documents submitted for verification are in compliance with the LC requirements, and deal with any differences as soon as they arise.Review and confirm all the Bank proposals for new limits, limit enhancement, specific limits, L/C limits, nonfunded limits, takeover, and renewal.Track and monitor every step of the shipping process, including the estimation of the time needed and the date of dispatch.Conversant with Trade Finance Product’s as well as UCP600, ISP98 and URR725.Good understanding of various SWIFT message types.Interconnect with exporters, shipping companies, and other pertinent parties to correct anomalies in documents and acquire any clarifications that are required.To ensure efficient processing, communicate with internal divisions including SCM, Finance & Accounts, bill verification, and compliance.Determine and evaluate any potential risks connected with the verification process, such as credit, legal, and compliance concerns and take the necessary steps to reduce these risks.Responsible for Maintaining accurate records of all verified documents and transactions related to Foreign Purchase bill.Cost optimization scope searching at every point.Calculation of LC amendments (if necessary), late fees, actual payments, etc.Analysis post import cost analysis, Variance, total import cost, unit cost, cost variance etc.  Preparing LC Cost sheet, delay calculation, port demerge, shipping demerge, Debit note issue to supplier/adjust with payable amount and take approval from Reporting Supervisor and Managing Director after reaching the warehouse.Comparing the quantity received to the purchase order or list, identifying any discrepancies or shortages, and issuing a debit note to the supplier or adjusting the payable amountContinuously evaluate and improve the efficiency and effectiveness of the LC bill verification process.Stay updated on changes in international trade regulations and banking practices.Prepare regular reports on the status of LC bill verification processes, including performance metrics and compliance issues.All individual LC files are updated in soft copy & Hard Copy.","Check & verify all documents comply with the terms and conditions of the Letter of Credit, Import procedure, international trade regulations, and company policies.","Full-time","M.Com/MBA/MBS in any discipline.","Age at least 23 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Jr. Accounts Officer","Accounting Finance","Crockery Home","01","Job Location : Tikkapara, Mohammadpur, Dhaka","","Full-time","Bachelor of Commerce (BCom) in Accounting","Age 25 to 31 years","Dhaka (Mohammadpur)","Tk. 12000 - 14000 (Monthly)Corporate Mobile bill limit, Yearly Increment and others benefit as per company policies.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
