"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"সহকারী ব্রাঞ্চ ম্যানেজার (শুধুমাত্র মহিলাদের জন্য)","Beauty Care  Health & Fitness","New Glamour World","Not specific","তিনটি ব্রাঞ্চের জন্য সহকারি ম্যানেজার নিয়োগ দেওয়া হবে.
সকাল ১০ থেকে রাত ৮ পর্যন্ত","তিনটি ব্রাঞ্চের জন্য সহকারি ম্যানেজার নিয়োগ দেওয়া হবে.","Full-time","SSC, HSC","Age 25 to 35 years","ঢাকা (উত্তরা)","Tk. 13000 - 18000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Medical Assistant","Beauty Care  Health & Fitness","Korean Beauty world Ltd","Not specific","Helps patients by providing medical information, services, and assistance.
Verifies patient information by interviewing patient, recording medical history.
Prepares patients for examination by performing preliminary physical tests; taking blood pressure, weight, and temperature; and reporting patient history summary
Maintains medical supplies inventory and performing preventive maintenance to keep medical equipment operating.
Perform a secondary survey & manage patient according to problem
Documentation of all observations, interventions, assessments, changes in condition and advice given.
To assess scene and condition of casualty in case of emergency situation
To provide care to stabilize / treat patient(s) before transfer to site First Aid Clinic or Site Clinic if nearest.
To transfer patient(s) to nearest site First Aid clinic or Site Clinic according to medical condition.
To consult outside medical support to obtain advice (as required) on diagnosis / treatment, if appropriate.
To communicate Medevac requirement - notify Incident Coordinator of required Medevac Response, if needed.
To accompany patient(s) to most appropriate reference hospital (if medevac required).","Helps patients by providing medical information, services, and assistance.","Full-time","Diploma in Nursing","Age 25 to 40 years","Dhaka (Adabor)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Nurse","Beauty Care  Health & Fitness","Signature Aesthetic And Laser Center","Not specific","Working hours: 10:30 AM- 8:00 PM","Preparing equipment and examination rooms, and clean instruments according to schedule appointments.","Full-time","","Age 20 to 30 years","Dhaka (Dhanmondi)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"বিউটিশিয়ান","Beauty Care  Health & Fitness","Geetee's Beauty Parlour & Traning Center","Not specific","জরুরী ভিত্তিতে আকর্ষনীয় বেতনে পার্লারের কাজের অভিজ্ঞতা সম্পন্ন সিনিয়র এবং জুনিয়র বিউটিশিয়ান  প্রয়োজন।","বিউটি পার্লারের কাজের অভিজ্ঞতা থাকতে হবে।","Full-time","পিএসসি / জে এসসি / এসএসসি","Age 18 to 40 years","ঢাকা","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive","Beauty Care  Health & Fitness","Swing Makeover Salon","Not specific","A renowned salon in Dhanmondi is looking for a full-time executive .6 days a weeks from 11am-8pm.","A renowned salon in Dhanmondi is looking for a full-time executive .","Full-time","HSC","Age 23 to 35 years","Dhaka (Dhanmondi)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"SPA Therapist","Beauty Care  Health & Fitness","Mana Bay Water Park  (A concern of Splash Works Water Park Ltd.)","Not specific","We are looking for experienced Female Spa therapist for our guests to perform massages, beauty treatments, and wellness therapies, depending on guests` needs and preferences.","Deliver a variety of spa services (body treatments, massages, facials, waxing and manicure/pedicure) in a safe and comfortable manner.","Full-time","SSC","Age 20 to 40 years","Munshiganj (Gazaria)","NegotiableAppropriate Service Charge as per Park policy""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Football Coach","Beauty Care  Health & Fitness","Dhaka, Banasree","01","Competence certificate from any of the recognized organization is mandatory.","Should be arranged indoor & outdoor football training four (04) days in a week.","Part-time","Bachelor degree in any discipline","Age 20 to 35 years","Dhaka (Dhaka Sadar)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Supervisor","Beauty Care  Health & Fitness","Jesica Makeover Studio By Farhana Trina","Not specific","You can work part-time/full time. Here we need a leadership quality as well as smart to handle every situation.","Customer reception and Handling","Full-time","HSC, Bachelor degree in any discipline","Age 20 to 30 years","Dhaka (Wari)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Fitness Trainer","Beauty Care  Health & Fitness","Renaissance Dhaka Gulshan Hotel RDGH","2","Clean and maintain recreational equipment and supplies.
Obtain required number of towels from Laundry based on expected daily needs, transport to work area (fitness center, locker room, pool, tennis court), and fold and stack according to company procedures.
Maintain an adequate supply of cups and water in recreation area (fitness center, locker room, pool, tennis court).
Wipe down fitness center machines and remove towels, trash, and debris from fitness center area.
Call Maintenance or an outside service company if machines require service in order to maintain properly functioning fitness equipment.
Provide information to guests about available recreation facilities, activities, lessons, and equipment.
Promote a fun and relaxing atmosphere for guests in all recreational activities and areas by expressing an upbeat and enthusiastic attitude
Observe activity in the recreational facility and respond appropriately/in accordance with local operating procedure in the event of an emergency.
Provide assistance to injured guests until the arrival of emergency medical services.
Complete any certifications/training required by law or manufacturer to instruct guests/clients on the use of equipment.
Welcome and acknowledge each and every guest with a smile, eye contact, and a friendly verbal greeting, using the guest's name when possible.
Thank guests with genuine appreciation and provide a fond farewell.
Provide assistance to individuals with disabilities, including assisting visually, hearing, or physically-impaired individuals within guidelines (e.g., escorting them when requested, using words to explain actions, writing directions on paper, moving objects out of the way, or offering access to Braille or TDD phones).
Engage guests in conversation regarding their stay, property services, and area attractions/offerings.
Actively listen and respond positively to guest questions, concerns, and requests using brand or property specific process (e.g., LEARN, PLEASED, Guest Response, LEAP) to resolve issues, delight, and build trust.
Anticipate guests' service needs, including asking questions of guests to better understand their needs and watching/listening to guest preferences and acting on them whenever possible.
Address guests' service needs in a professional, positive, and timely manner.
Assist other employees to ensure proper coverage and prompt guest service.","Clean and maintain recreational equipment and supplies.","Full-time","Diploma in Hotel Management","Age 24 to 34 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"বিউটিশিয়ান","Beauty Care  Health & Fitness","Queens Beauty Parlour & Training Center","3","জরুরী ভিত্তিতে আকর্ষনীয় বেতনে পার্লারের কাজের অভিজ্ঞতা সম্পন্ন এক্সপার্ট সিনিয়র , জুনিয়র বিউটিশিয়ান এবং এক্সপার্ট মেকাপ আর্টিস্ট  প্রয়োজন।","বিউটি পার্লারের যাবতীয় কাজ জানা থাকতে হবে।","Full-time","এস এস সি","Age 18 to 30 years","ঢাকা (বনশ্রী)","Negotiableথাকার সু ব্যবস্থা রয়েছে।""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
