"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Computer Operator Jobs in an Office Environment","Data Entry Operator BPO","Gamma Innovation Limited","2","Gamma Innovation Ltd offers professional computer operator jobs in the office for computer-savvy individuals who are seeking a challenging but rewarding career. We offer excellent training and a range of benefits – apply today to get started!","System Monitoring.","Full-time","Bachelor degree in any discipline","Age 20 to 32 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"অফিস সহকারী কাম কম্পিউটার অপারেটর","Data Entry Operator BPO","Central Medical College","Not specific","N/A","","Full-time","স্নাতক পাশ।","কম্পিউটার অভিজ্ঞতা সম্পন্ন।","কুমিল্লা","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive / Sr. Executive - MIS & WFM","Data Entry Operator BPO","Digicon Technologies Ltd.","Not specific","Manage and prepare Periodic/adHoc reports for internal & external stakeholders
Calculate required manpower, prepare shift design and roster
Data cleaning, reconciliations and backup
Reporting and Analysis, Trend and Forecasting from historical data
Performance-stack reporting
Process KPI/SLA reports
Developing & maintaining different types of reporting dashboards as per requirement. e.g. attendance, absenteeism, operational, quality
Able to handle large datasets and generate reports from millions of data
Prepare business presentations as and when required.
Perform any other task assigned by the management from time to time.","Manage and prepare Periodic/adHoc reports for internal & external stakeholders","Full-time","Bachelor degree in any discipline","Age 25 to 35 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Data Entry Operator","Data Entry Operator BPO","Ismartu Technology BD Ltd.","3","China Based Mobile factory 
Brand : Itel, tecno, Infinix
job location: Meghna Economic Zone, Mograpara, Sonargone, Narayangong","China Based Mobile factory","Full-time","Bachelor degree in any discipline","Age 20 to 28 years","Narayanganj","Tk. 8500 - 8600 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Computer Operator Front Desk","Data Entry Operator BPO","TBCL Creation Ltd","1","Managing the correspondence to the sales & service team.
Providing data and reports to help the sales & service team.
Prepares, compiles, and sorts documents for data entry.
Reporting to top level management
Ability to work under pressure.
Others works assigns by management.","Managing the correspondence to the sales & service team.","Full-time","Preferably Diploma in Engineering from any reputed institute.","Age 20 to 28 years","Dhaka (DOHS Mohakhali)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Computer Operator","Data Entry Operator BPO","TALUKDER TELECOM & IDEAL STUDIO","Not specific","Looking for experienced and passionate Computer Operator for Office Job who is interested in working with the talented and dynamic person to asset our organization.","Good typing speed as Computer Operator in Bengali and English both.","Full-time","Bachelor degree in any discipline, HSC","Age 18 to 35 years","Dhaka (Jatrabari)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Business Operation Manager, Business & Sales","Data Entry Operator BPO","PMASPIRE LIMITED","1","PMaspire, a global project management solutions provider, has received the BASIS National ICT Award in 2018 and 2019. PMaspire has also been ranked among the top 5 project management training sites in the world by projectmanagement.com. PMaspire is a global project management training and exam simulation provider with offices in Singapore, Canada, and Bangladesh, helping project aspirants in 100 countries. The Head of Training Business at Global Training Services will be responsible for developing training businesses in the SAARC and APAC regions and will be the rocket scientist to achieve sales targets with distinction.","Drive team and ensure team sales for PMO software, LMS and other software products and team.","Full-time","Bachelor degree in any discipline","Age 32 to 40 years","Dhaka","Tk. 60000 - 70000 (Monthly)Global Career Opportunity
Fixed Salary
Sales Bonus
Mobile Bill
Food (Partially Subsidized) 
Bi-Weekly Two Days Holidays""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Computer Operator","Data Entry Operator BPO","TRAVEL EXPERTS","Not specific","Compose, Design & online data entry","","Full-time","HSC","Age 18 to 45 years","Dhaka, Dhaka (Motijheel)","Negotiableas per company policy""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Data Entry Operator/Computer Operator","Data Entry Operator BPO","GlossyBD","Not specific","GlossyBDis searching a polite, professional to work closely with other team members to provide outstanding service to the customers by answering questions, handling complaints, and troubleshooting problems for a Renowned Company  to work with team membersJob Location: Wari, Dhaka-1203Working Time: Roster Duty/Shifting Duty (Weekly 6 Days)","GlossyBDis searching a polite, professional to work closely with other team members to provide outstanding service to the customers by answering questions, handling complaints, and troubleshooting problems for a Renowned Company  to work with team members","Full-time","HSC","Age at most 25 years","Dhaka (Wari)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Computer Operator","Data Entry Operator BPO","DMC INSTITUTE","Not specific","Internet browsing.
Data entry.
Form scanning and software input.
Customer Support.","Internet browsing.","Full-time","Bachelor degree in any discipline","Age 24 to 35 years","Chattogram (Chittagong Sadar Chawkbazar)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
