"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"ড্রাইভার","Driving Motor Technician","N Islam Auto Mobiles","1","বৈধ ড্রাইভিং লাইসেন্স, জাতীয় পরিচয় পত্র থাকা আবশ্যক।
অটো গাড়ী চালনার অভিজ্ঞতা থাকা।
ন্যূনতম ৪-৫ বছরের অভিজ্ঞতা থাকতে হবে।
অবশ্যই নম্র ভদ্র এবং অধূমপায়ী হতে হবে ।
রাস্তা সম্পর্কে ধারণা থাকতে হবে।","বৈধ ড্রাইভিং লাইসেন্স, জাতীয় পরিচয় পত্র থাকা আবশ্যক।","Full-time","SSC, HSC","Age 31 to 45 years","ঢাকা (সাভার ই পি জেড)","Tk. 15000 - 18000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Car Wash Attendant, Workshop","Driving Motor Technician","BRAC","Not specific","Vacuum, clean, and maintain vehicle interiors, including dashboards, consoles, carpet, and car seats.
Scrub heavily soiled and hard-to-reach areas of vehicles, and pre-wash exterior areas of cars.
Wash and clean the vehicle exterior with water, chemicals, shampoo, and detergent.
Carry out periodic maintenance of equipment used in cleaning and washing to keep them in proper working order.
Reports the conditions of the vehicle's received and delivered.
Manage inventory and reorder supplies.","Vacuum, clean, and maintain vehicle interiors, including dashboards, consoles, carpet, and car seats.","Full-time","Class eight passed","Age at least 18 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"ড্রাইভার (হেভি/মিডিয়াম লাইসেন্সধারী)","Driving Motor Technician","Modern Herbal Group","5","অফিসের ডিউটি ও বিভিন্ন জেলায় পণ্য পরিবহন করতে হবে।","","Full-time","At least 5 year(s)","Age 25 to 40 years","ঢাকা","অভিজ্ঞতা সাপেক্ষে -15,000 থেকে 16,000 টাকা ও কোম্পানীর নিয়ম অনুযায়ী সুযোগ-সুবিধা প্রাপ্য।""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Assistant Auto Mechanic (Automobile)- Maintenance, BOGCL","Driving Motor Technician","Bashundhara Group","1","Bashundhara Oil and Gas Company Ltd., a subsidiary of Bashundhara Group, is looking for some competent candidates for the position of ""Assistant Auto Mechanic (Automobile)- Maintenance, BOGCL"" for its Bitumen Plant in Keranigonj.","Perform Preventive Maintenance Tasks.","Contractual","Minimum S.S.C/HSC pass with trade course from any reputed training institute.","Age at least 20 years","Dhaka (South Keraniganj)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"ড্রাইভার (পিকআপ ভ্যান)","Driving Motor Technician","দারাজ বাংলাদেশ লিমিটেড","150","ডেলিভারি ভ্যান ড্রাইভিং এর অভিজ্ঞতা থাকতে হবে।
ঢাকার অভ্যন্তরে এবং ঢাকার বাইরে (প্রয়োজন সাপেক্ষে) বিভিন্ন স্থানে গাড়ি নিয়ে যাতায়াত করতে হবে।
গাড়ি এবং গাড়ির কাগজপত্র ঠিকমত রক্ষনাবেক্ষন করতে হবে।
ট্রাফিক আইন মেনে গাড়ি চালাতে হবে।
নির্দিষ্ট সময় পরপর গাড়ির সার্ভিসিং করাতে হবে।
গাড়ি নিয়ে বের হবার সময় প্রতিদিন নির্দিষ্ট কিছু জিনিস চেক করে বের হতে হবে। যেমনঃ চাকার হাওয়ার প্রেসার চেক, মবিল চেক, রেগুলেটরের পানি, ব্রেক ওয়েল, পাওয়ার ওয়েল চেক করে বের হতে হবে।
নির্দিষ্ট সময় পরপর গাড়ি ধোয়া ও পরিস্কার-পরিচ্ছন্ন করতে হবে।
নিয়মিত লগ বই তে এন্ট্রি এবং এর রক্ষনাবেক্ষন করতে হবে।","ডেলিভারি ভ্যান ড্রাইভিং এর অভিজ্ঞতা থাকতে হবে।","Contractual","At least 1 year(s)","Age at least 18 years","ঢাকা (মোহাম্মদপুর, হাজারীবাগ)","Tk. 15000 - 18000 (Monthly)ইনসেন্টিভ বোনাসঃ ১,২৫০ টাকা
ওভারটাইম
উৎসব ভাতা
কোম্পানির পক্ষ থেকে জীবন বীমা
কোম্পানির পক্ষ থেকে স্বাস্থ্য বীমা""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Mechanic (Engine), Workshop","Driving Motor Technician","BRAC","Not specific","Proper fault diagnosis of the vehicles for repair and maintenance job.
Helping service engineer to prepare estimation of required spare parts for repair job
Execution of repair job accurately within standard time.
Quality check up of repair job by performing road test.
Keeping the vehicle neat and cleaning at the time of performing repair jobs.
Taking proper care of tools and equipment used for repair and maintenance of vehicle.
Reporting to management about day-to-day job progress regularly.
Keeping record of performed job in daily job register.
Follow up for any unfinished work and job waiting for spare parts.","Proper fault diagnosis of the vehicles for repair and maintenance job.","Full-time","Class eight passed","Age at least 18 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Auto Shop Helper (Automobile)- Maintenance, BOGCL","Driving Motor Technician","Bashundhara Group","1","Bashundhara Oil and Gas Company Ltd., a subsidiary of Bashundhara Group, is looking for some competent candidates for the position of ""Auto Shop Helper (Automobile)- Maintenance, BOGCL"" for its Bitumen Plant in Keranigonj.","Assists mechanic in repairing and maintaining Automobile vehicle and mechanical equipment's.","Contractual","Minimum S.S.C pass with trade course from any reputed training institute.","Age at least 20 years","Dhaka (South Keraniganj)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Auto Mechanic (Automobile)- Maintenance, BOGCL","Driving Motor Technician","Bashundhara Group","Not specific","Bashundhara Oil and Gas Company Ltd., a subsidiary of Bashundhara Group, is looking for some competent candidates for the position of ""Auto Mechanic (Automobile)- Maintenance, BOGCL"" for its Bitumen Plant in Keranigonj.","Inspect vehicle engine (Diesel & petrol) and mechanical/electrical components to diagnose issues accurately as like car, jeep, microbus, bitumen bulk carrier, open truck, crane, excavator & others.","Contractual","Completion of S.S.C/H.S.C pass with trade course from any reputed training institute.","Age at least 30 years","Dhaka (South Keraniganj)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"ড্রাইভার","Driving Motor Technician","ওয়ালটন হাই-টেক ইন্ডাস্ট্রিজ পিএলসি.","05","আমাদের পরিবহন সেকশনের দক্ষ জনবল বৃদ্ধি এবং যে কোন  ধরনের গাড়ী (ডেলিভারী ভ্যান, প্রাইভেট কার, কাভার্ড ভ্যান ইত্যাদি) চালানোর মানসিকতা থাকতে হবে। কোম্পানির নিয়ম অনুযায়ী বাংলাদেশের যে কোন স্থানে কাজ করার মন মানসিকতা থাকতে হবে।","গাড়ীর সার্ভিসিং, কাগজের আপডেট এবং গাড়ির প্রযুক্তিগত সমস্যা সম্পর্কে অবগত থাকা।","Full-time","জেএসসি (৮ম শ্রেণী) / এসএসসি / এইচএসসি অথবা সমমানের অন্য কোন পরীক্ষায় পাশ হতে হবে।","Age 25 to 35 years","বাংলাদেশের যেকোনো স্থানে","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Vehicle Technician (ডিজেল)","Driving Motor Technician","মেসার্স মা এন্টারপ্রাইজ","Not specific","মেসার্স মা এন্টারপ্রাইজ  কুদাব, পুবাইল, মিরের বাজার, গাজীপুর, টঙ্গী তে অবস্থিত একটি সুপ্রতিষ্ঠিত প্রতিষ্ঠান।","মেসার্স মা এন্টারপ্রাইজ  কুদাব, পুবাইল, মিরের বাজার, গাজীপুর, টঙ্গী তে অবস্থিত একটি সুপ্রতিষ্ঠিত প্রতিষ্ঠান।","Full-time","8 Pass","Age at least 23 years","গাজীপুর (টঙ্গী)","বেতন আলোচনা সাপেক্ষে নির্ধারণ করা হবে""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Personal Driver","Driving Motor Technician","MS FAHIM ENTERPRISE","01","PERSONAL DRIVERExpert to Drive High Segment Car (Like : BMW/Land Cruiser/Any Car of Toyota).","PERSONAL DRIVER","Full-time","HSC","Age at least 25 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Drone Pilot","Driving Motor Technician","Geomark_Limited","2","Full time permanent","","Full-time","Bachelor degree in any discipline, Diploma in Engineering","Age 20 to 35 years","Anywhere in Bangladesh","Tk. 20000 - 25000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Mechanic (Electric), Workshop","Driving Motor Technician","BRAC","Not specific","Electrical Diagnosis: Utilize diagnostic tools and equipment to identify electrical and electronic system faults in vehicles.
Component Replacement: Replace faulty electrical components such as alternators, starters, batteries, and ignition systems.
Hybrid System Maintenance: Perform maintenance and repair on hybrid vehicles, EV, including battery systems, inverters, and electric motors.
Computer Diagnostics: Use specialized diagnostic software to identify and resolve issues with vehicle control systems and on board computers.
Safety Compliance: Follow safety procedures and guidelines to ensure a safe working environment for yourself and your colleagues.
Reporting: to management about day-to-day job progress.
Documentation: Maintain accurate records of repairs, parts used, and diagnostic findings.
Following up: on unfinished work and jobs waiting for spare parts is a crucial aspect of project and task management, ensuring that projects stay on track.","Electrical Diagnosis: Utilize diagnostic tools and equipment to identify electrical and electronic system faults in vehicles.","Full-time","Class eight passed","Age at least 18 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"ড্রাইভার","Driving Motor Technician","Mahir Group","2","বৈধ ড্রাইভিং লাইসেন্স, জাতীয় পরিচয় পত্র থাকা আবশ্যক।
    অটো গাড়ী চালনার অভিজ্ঞতা থাকা।
    বি এম ডব্লিউ, প্রাডো, মার্সিডিজ, অডি,  নিশান গাড়ি চালানোয় পারদর্শী হতে হবে।
    ন্যূনতম ৪-৫ বছরের অভিজ্ঞতা থাকতে হবে।
    অবশ্যই নম্র ভদ্র এবং অধূমপায়ী হতে হবে ।
    রাস্তা সম্পর্কে ধারণা থাকতে হবে।","বৈধ ড্রাইভিং লাইসেন্স, জাতীয় পরিচয় পত্র থাকা আবশ্যক।","Full-time","JSC","Age at least 25 years","ঢাকা (গুলশান)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Driver","Driving Motor Technician","The White Horse Pharmaceuticals","Not specific","To provide driving service for the selected person.","","Full-time","SSC","Age 20 to 35 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"ড্রাইভার (পিকআপ ভ্যান)","Driving Motor Technician","Masud Rana Chemical","5","ডেলিভারি ভ্যান ড্রাইভিং এর অভিজ্ঞতা থাকতে হবে।
ঢাকার অভ্যন্তরে এবং ঢাকার বাইরে (প্রয়োজন সাপেক্ষে) বিভিন্ন স্থানে গাড়ি নিয়ে যাতায়াত করতে হবে।
গাড়ি এবং গাড়ির কাগজপত্র ঠিকমত রক্ষনাবেক্ষন করতে হবে।
ট্রাফিক আইন মেনে গাড়ি চালাতে হবে।
নির্দিষ্ট সময় পরপর গাড়ির সার্ভিসিং করাতে হবে।
গাড়ি নিয়ে বের হবার সময় প্রতিদিন নির্দিষ্ট কিছু জিনিস চেক করে বের হতে হবে। যেমনঃ চাকার হাওয়ার প্রেসার চেক, মবিল চেক, রেগুলেটরের পানি, ব্রেক ওয়েল, পাওয়ার ওয়েল চেক করে বের হতে হবে।
নির্দিষ্ট সময় পরপর গাড়ি ধোয়া ও পরিস্কার-পরিচ্ছন্ন করতে হবে।
অভার টাইম আছে।","ডেলিভারি ভ্যান ড্রাইভিং এর অভিজ্ঞতা থাকতে হবে।","Full-time","JSC","Age 18 to 50 years","ঢাকা (যাত্রাবাড়ি)","Tk. 20000 - 30000 (Monthly)ইনসেন্টিভ বোনাসঃ প্রতি ডেলিভারিতে (পয়েন্ট) ঢাকা ২০/=, ঢাকার বাহিরে ৩০/=  (গড়ে প্রতিদিন ৩০০/= থেকে ৬০০/= টাকা পর্যন্ত)
ওভারটাইমঃ প্রতি ঘন্টা ৬৫/=
হাজিরা বোনাসঃ ৩০০০/=""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"পার্সোনাল ড্রাইভার","Driving Motor Technician","M/S JH BROTHERS","Not specific",".","","Full-time","৮ম শ্রেণী থেকে এসএসসি পাশ।","Age 18 to 45 years","চট্টগ্রাম","আলোচনা সাপেক্ষে""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"ড্রাইভার","Driving Motor Technician","জিপ্রজুক্তি.কম","1","মাইক্রো বাস এবং কাভার্ড ভ্যান ড্রাইভিং
নিরাপদে এবং দায়িত্বের সাথে সমস্ত ট্রাফিক নিয়ম এবং প্রবিধান মেনে গাড়ি চালানো
কোম্পানির প্রয়োজনীয় সমস্ত আরামের প্রয়োজনীয়তা পূরণ করতে সক্ষম
নিরাপদ এবং দক্ষভাবে গাড়ি চালাতে সক্ষম এবং গাড়ি সর্বদা পরিষ্কার ও পরিচ্ছন রাখা 
গাড়ির কোনো সমস্যা বা ঘটনা যথাযথ বিভাগে রিপোর্ট করা
রাজ্যের সমস্ত ট্র্যাফিক/সড়ক নিয়ম এবং প্রবিধান মেনে চলতে সক্ষম
ব্যবস্থাপনা, অতিথি, প্রতিনিধিদের সাথে ভাল সমন্বয় বজায় রাখা","মাইক্রো বাস এবং কাভার্ড ভ্যান ড্রাইভিং","Full-time","Micro Bus & Cavard Van Driving","একটি পরিষ্কার ড্রাইভিং রেকর্ড সহ বৈধ ড্রাইভিং লাইসেন্স","ঢাকা","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
