"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"জুনিয়র ইনস্ট্রাক্টর (নন টেক)","Education Training","রংপুর ইনস্টিটিউট অব টেকনোলজি(RIT)","4","রংপুর ইনস্টিটিউট অব টেকনোলজি (RIT), রংপুর এ ম্যাথমেটিক্স, ফিজিক্স, কেমিস্ট্রি ও ইংরেজি বিষয়ে  জুনিয়র ইন্সট্রাকটর (নন টেক) জরুরী ভিত্তিতে নিয়োগ দেওয়া হবে।","","Full-time","স্বীকৃত বিশ্ব বিদ্যালয় থেকে সংশ্লিষ্ট বিষয়ে স্নাতকোত্তর ডিগ্রী।","Age at least 25 years","রংপুর (রংপুর সদর)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"প্রভাষক","Education Training","Holy Land College, Dinajpur","12","স্ব-অর্থায়নে পরিচালিত, উত্তরাঞ্চলে ১ম শীতাতপ নিয়ন্ত্রিত প্রযুক্তিসমৃদ্ধ ডিজিটাল কলেজ, দিনাজপুর। গণিত, রসায়ন, পদার্থ, জীববিজ্ঞান (উদ্ভিদ বিজ্ঞান-০২, প্রাণী-০১) প্রতি বিষয়ে ০৩ জন প্রভাষক নিয়োগ দেওয়া হবে।","","Full-time","SSC ও HSC পরীক্ষায় কমপক্ষে জিপিএ - ৩.৫০। সংশ্লিষ্ট বিষয়ে অনার্স ও মাস্টার্স - এ কমপক্ষে সিজিপিএ ২.৫০। মাস্টার্সের চূড়ান্ত ফলপ্রার্থীগণও আবেদন করতে পারবেন।","Age at most 40 years","দিনাজপুর (দিনাজপুর সদর)","বেতন: ২৫,৫০০/- ( বেসিক: ২২,০০০ + বাড়ি ভাড়া: ৩,০০০ + মেডিকেল: ৫০০)
এছাড়াও `ইভিনিং স্টাডি প্রোগ্রাম, সুপারভাইজারি স্টাডি প্রোগ্রাম এবং হোস্টেল ভিজিট` বিল।""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Class Teacher","Education Training","American Standard International School","5","Prepare lesson plans and implement effective strategies to develop independent learners and help to progressively challenge learning.
Prepare questions and assessments to appropriately evaluate and promote continuous intellectual development of students.
Mentor, guide and help students and act as a mediator and communicator with parents
Prepare report cards, conduct parent meetings and prioritize the child's best interests.","Prepare lesson plans and implement effective strategies to develop independent learners and help to progressively challenge learning.","Full-time","Bachelor Degree (Masters preferred).","Age 25 to 45 years","Dhaka (GULSHAN 2)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Monitoring Officer, BRAC Education Programme (Project Staff)","Education Training","BRAC","Not specific","The position is responsible for the project of Advocacy for Play, Early Learning & Socio-emotional Development in Bangladesh managing and implementing monitoring works as per plan and procedures, data quality, timely data collection, and reporting. The position also develops monitoring tools as per requirement of the program and conducts urgent works for assisting programs and support functions for activity/ output/ outcome monitoring.","Participate in strategic planning of Monitoring and Evaluation Unit.","Contractual","Master Degree in Statistics or Social Science from any reputed university.","Age at least 24 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Chemistry Teacher","Education Training","Australian International School  (AusIS)","Not specific","Under the Direct Supervision of Coordinator, the incumbent is required to discharge following duties: Implements instructional activities that contribute to a climate where students are actively engaged in meaningful learning experiences:
Implements instructional activities that contribute to a climate where students are actively engaged in meaningful learning experiences.
Identifies, selects, and modifies instructional resources to meet the needs of the students with varying backgrounds, learning styles, and special needs.
Assists in assessing changing curricular needs and offers plans for improvement.
Maintains effective and efficient record keeping procedures.
Provides a positive environment in which students are encouraged to be actively engaged in the learning process.
Communicates effectively, both orally and in writing, with students, parents, and other professionals on a regular basis.
Collaborates with peers to enhance the instructional environment.
Models professional and ethical standards when dealing with students, parents, peers, and community.
Ensures that student growth and achievement is continuous and appropriate for age group, subject area, and/or program classification.
Establishes and maintains cooperative working relationships with students, parents, and schools.
Assumes responsibility for meeting his/her course and school-wide student performance goals.
Demonstrates gains in student performance.
Participates in training and presentations pertaining to professional development.
Meets professional obligations through efficient work habits such as: meeting deadlines, honoring schedules, coordinating.
All work responsibilities are subject to having performance goals and/or targets established as part of the annual performance planning process or as the result.
Performs other duties and responsibilities as assigned.","Under the Direct Supervision of Coordinator, the incumbent is required to discharge following duties: Implements instructional activities that contribute to a climate where students are actively engaged in meaningful learning experiences:","Full-time","Bachelor / Honors and Masters in Chemistry from an accredited institution in the related field.","Age 28 to 50 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Officer, Human Resources","Education Training","University Of Liberal Arts Bangladesh","1","ULAB HR office is seeking to appoint a passionate, driven and creative individual who will provide effective support to the day to day HR activities including but not limited to Recruitment, HR operations and Services etc. The position demands a high level of integrity and maintenance of confidential documents.","Assist in Recruitment, selection, and joining of the newly joined employees.","Full-time","Bachelors from any reputed university, preferably BBA degree","Age 22 to 30 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"English Teacher - Literature & Language (STD III - VI)","Education Training","Yale International School","02","Prepare lesson plans, lecture materials and actively involve in developing curriculum.Evaluate students' assignments and written works.All academic responsibilities related to students' exam, parents dealing and other duties as the position requires. Active participation in School events.","Prepare lesson plans, lecture materials and actively involve in developing curriculum.","Full-time","Bachelor of Arts (BA)","Age 25 to 35 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"হোস্টেল সুপার","Education Training","Feni Private Hospital & Laparoscopy Institute","01","কর্মস্থল :  কুইন্স নার্সিং কলেজ, ফেনী সদর ফেনী।","Maintain the hostel facilities in proper working order","Full-time","Bachelor degree in any discipline","Age 30 to 45 years","ফেনী (ফেনী সদর)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Science Teacher VII-VIII (Physics, Chemistry)","Education Training","Scholastica  Limited","01","Conduct Science classes (Physics, Chemistry) for VII-VIII level.
Prepare lesson plans, lecture materials and actively involve in developing curriculum
Evaluate students' assignments and written works.
All academic responsibilities related to students exam, parents dealing and other duties as the position requires.","Conduct Science classes (Physics, Chemistry) for VII-VIII level.","Full-time","M.Sc or B.Sc in Science concentration in Physics/ Chemistry is required from a recognized university with CGPA 3 and above.","Age 23 to 45 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Lab Assistant for Electrical and Electronic Engineering (EEE)","Education Training","Northern University of Business & Technology, Khulna","Not specific","Maintenance and operation of lab equipment.Assisting students in project related activities.Assisting lab instructor.Documentation for lab equipment and lab manuals etcAny other duties and responsibilities assigned by the University Management.","Maintenance and operation of lab equipment.","Full-time","Diploma in Electrical, Electronics Technology","Age at most 30 years","Khulna (Khulna Sadar)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
