"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"সাইট সুপারভাইজার","Electrician  Construction  Repair","ABC Auto Bricks","Not specific","সকল নির্মাণ কার্যক্রমের অগ্রগতি তদারকি করা।
সাইটের কর্মীদের নিয়োগ এবং কর্মক্ষমতা মূল্যায়ন করা।
সমস্ত সরঞ্জাম কাজের ক্রম এবং ভাল অবস্থায় আছে তা নিশ্চিত করা
জরুরী অবস্থায় প্রাথমিক চিকিৎসা করা।
সমস্ত নির্মাণ সাইট শ্রমিকদের একটি সঠিক উপস্থিতি রিপোর্ট বজায় রাখা।","সকল নির্মাণ কার্যক্রমের অগ্রগতি তদারকি করা।","Full-time","SSC, HSC","Age 26 to 40 years","মানিকগঞ্জ (সিংগাইর)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Site Engineer (Civil)","Electrician  Construction  Repair","Pragati Life Insurance Limited","01","Site supervision, estimating and preparation of bill of quantities (BOQ) as per architectural & structural design.","","Full-time","Diploma in Civil","Age 40 to 42 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Manager - Maintenance (Electrical)","Electrician  Construction  Repair","Mohammadi Group","Not specific","We are looking for a Manager-Maintenance (Electrical) at MG Properties Ltd. a concern of Mohammadi Group. Who must have working experience in the real estate industry ( Residential & Commercial ).","Designing, maintaining, implementing, or improving electrical instruments, facilities, components, equipment products, or systems for industrial purpose.","Full-time","Bachelor of Science (BSc) in Electrical Engineering","Age 33 to 40 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Site Engineer (Electrical)","Electrician  Construction  Repair","Pragati Life Insurance Limited","01","Estimating and preparation of Bill of Quantities (BOQ) for Electrical Items as per Architectural & Structural Design.","","Full-time","Diploma in Electrical","Age 40 to 42 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"In-Charge (Electrical)","Electrician  Construction  Repair","Monalisa Ceramics (BD) Ltd.","1","Determine to achieve objective and follow up progress completing with the strategic production target and mission of the Company to achieve the goal.
Prepare, suggest and recommend training, tools and various operational guidelines to enhance skill and competency of all factory personnel from time to time.
Keeping informed all the operational affairs to Managing Director / Chairman/ CEO and solicit decision in necessary case.
Maintain collaborative working relationship with supervisors, peers, subordinates, internal customers and external customers.
Understand full Automation System of X-Ceramics.
Ensure Standard Operating Procedure and Compliance as per ISO 9001:2008.
Develop, manage and execute department budget and monthly goals.
Prepare and submit quarterly and annual budget plan in regard to production planning for the future growth of the plant in consolation with the management.
Determining relevant quality associated training requirements and delivering training from time to time.
Collating and analyzing performance charts and data against defined parameters.
Writing management and technical systems reports.
Collating the staff of various disciplines and driving them to plan, develop and agree broad quality procedures.","Determine to achieve objective and follow up progress completing with the strategic production target and mission of the Company to achieve the goal.","Full-time","Diploma in Electrical.","Age at least 30 years","Gazipur (Sreepur)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Rotogravure Printing Machine, Operator","Electrician  Construction  Repair","A Renowned Aluminum Packaging Foil Company(Foil Rolling Mill)","Not specific","We are seeking a skilled and experienced Rotogravure Printing Machine Operator to join our team. The ideal candidate will have a strong background in operating rotogravure printing machines and a keen eye for detail. This role is crucial in ensuring the quality and efficiency of our printing processes.","1.	Machine Setup: Set up and prepare rotogravure printing machines for production runs, ensuring that all necessary materials and components are in place.","Full-time","Diploma in Mechanical in Mechanical Engineering","Age 30 to 35 years","Dhaka (Dhamrai)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Printer Repair Engineer","Electrician  Construction  Repair","Ryans Computers Ltd.","Not specific","Ink Tank Printer & Laser Printer Service & RepairReplacing new ink, Cartridges, Head, & other accessories changing itemsTroubleshooting printer problems such as paper jams, Error problems, Bad noise, Ink low, Print Not Clear, Scan problems, Roller problems, Light blinking Problems, etc.Completing printer setup & network configurations.QC of Ready product","Ink Tank Printer & Laser Printer Service & Repair","Full-time","Diploma in Engineering in Computer Engineering","Age at least 21 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Electrical Engineer","Electrician  Construction  Repair","Haoliwang International","2","screw compressor and industrial generator sell repair and maintenance.","","Full-time, Part-time","SSC","Age 18 to 50 years","Anywhere in Bangladesh","Negotiableafter each order complete , we give at least 100,000tk commission""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Assistant General Manager (AGM) - Structural Engineer","Electrician  Construction  Repair","Fortress Developments Ltd","01","As an Assistant General Manager (AGM) - Structural Engineer, you play a crucial role in designing and overseeing the construction of high-rise buildings and structural components. Your responsibilities include creating detailed designs, ensuring compliance with engineering standards and regulations, and maintaining high-quality standards throughout construction. Your analytical, critical thinking and time management skills are essential for success in this role.","Prepare detailed designs and construction plans for high-rise buildings, structural elements, and components, along with associated specifications.","Full-time","Bachelor in Engineering (BEngg) in Civil Engineering, Masters in Engineering (MEngg) in Civil Engineering","Age 35 to 45 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Electrical Engineer","Electrician  Construction  Repair","O&M Solutions Bangladesh Limited","Not specific","Project Name: Patuakhali 1320MW Coal Fired Thermal Power Plant Project","Assist Project Coordinator in various assignments.","Contractual","Bachelor Degree in Electrical Engineering from Public University preferably BUET/CUET/RUET/KUET.","Experience in Construction, Operation & Maintenance of power plant will be appreciable.","Patuakhali","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
