"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive Officer (Tender)","Engineer Architect","Nur Surgical","1","Office Work, OTM Tender, Manual Tender, EOI, RFQ. (Medical Equipment and Surgical Goods)","Tracking Tender Notices, Purchase of Tender Schedule, Detail Understanding of Tender Schedule.","Full-time","Minimum Bachelor degree in any discipline.","Age 23 to 28 years","Dhaka (DOHS Mohakhali)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Trainee Engineering Officer","Engineer Architect","US-Bangla Airlines","Not specific","The US-Bangla Airlines Ltd. (USBA), the largest private airline in the country (having Dash 8, Q-400, ATR 72-600, Boeing 737-800 and Airbus 330 joining soon) will hire some self-motivated, intelligent Engineering graduates as Trainee Engineering Officer for its Engineering Department.US-Bangla Airlines will provide the opportunity to the Trainee Engineering Officer (TEO) for taking module examination for Aircraft Maintenance Licenses. Once they complete all modules and other necessary prerequisites of Civil Aviation Authority of Bangladesh (CAAB), they will be placed for becoming Type Rated Engineer (TRE) on any specific type of Aircraft of the US-Bangla Airlines fleet.","The US-Bangla Airlines Ltd. (USBA), the largest private airline in the country (having Dash 8, Q-400, ATR 72-600, Boeing 737-800 and Airbus 330 joining soon) will hire some self-motivated, intelligent Engineering graduates as Trainee Engineering Officer for its Engineering Department.","Full-time","B.Sc in Mechanical/Electrical/Electrical and Electronics Engineering with minimum CGPA 3.00 (out of 4.00)","Age at most 24 years","Dhaka (Shahjalal Airport)","Tk. 35000 (Monthly)After obtaining Basic License salary will be Tk. 1,10,000/-
After becoming Type Rated Engineer (TRE) on any specific type of Aircraft of USBA fleet salary will be Tk. 2,00,000/-""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Deputy Chief Engineer (Structure)","Engineer Architect","WASO Engineers & Consultants (BD) Ltd.","Not specific","For the Post of Lead Structural Engineer, you play a crucial role in planning and designing of high-rise buildings and structural components. Your responsibilities include creating detailed designs, ensuring compliance with engineering standards and regulations, and maintaining high-quality standards throughout construction. Your analytical, critical thinking and time management skills are essential for success in this role.","•	Prepare detailed designs and construction plans for high-rise buildings, structural elements, and components, along with associated specifications.","Full-time","Bachelor in Engineering (BEngg)","Age 35 to 45 years","Dhaka (Kalabagan)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive, Research & Innovation","Engineer Architect","Walton Digi-Tech Industries Ltd.","2","The R&I Executive will work under the supervision of senior R&D staff and assist in the design, development, and testing of new products or processes. The incumbent will be responsible for carrying out experiments, analyzing data, and contributing to technical reports.","Product testing, QA, and Circuit analysis.","Full-time","Bachelor of Science (BSc) in EEE","Age at least 24 years","Gazipur (Kaliakair)","Tk. 30000 - 45000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Project Engineer / Site In-Charge","Engineer Architect","Reon Group","Not specific","•	This is key role that will be responsible for are site supervision, estimate, and quality control of all type of constructions, maintain and preparing all type of contractor`s bills.•	Workplace: Work at office and projects sites.","•	This is key role that will be responsible for are site supervision, estimate, and quality control of all type of constructions, maintain and preparing all type of contractor`s bills.","Full-time","Diploma in Civil","Age 20 to 35 years","Dhaka (Mohammadpur)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Quantity Engineer (Civil)","Engineer Architect","Neezer Bari Design & Construction","Not specific","We are seeking a skilled and experienced Quantity Engineer (Civil) to join our dynamic team. As a Quantity Engineer, you will play a pivotal role in ensuring the highest standards of quality and safety in our construction projects. Your expertise in Civil Engineering and proficiency in AutoCAD will be critical in maintaining our commitment to excellence. If you are passionate about delivering quality results in the construction industry and have a keen eye for detail, this is the perfect opportunity for you to contribute to our continued success.","We are seeking a skilled and experienced Quantity Engineer (Civil) to join our dynamic team. As a Quantity Engineer, you will play a pivotal role in ensuring the highest standards of quality and safety in our construction projects. Your expertise in Civil Engineering and proficiency in AutoCAD will be critical in maintaining our commitment to excellence. If you are passionate about delivering quality results in the construction industry and have a keen eye for detail, this is the perfect opportunity for you to contribute to our continued success.","Full-time","Diploma in Civil","Age at least 20 years","Dhaka (Lalmatia)","Tk. 12000 - 14000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive - General Maintenance","Engineer Architect","MAS Intimates Bangladesh (Pvt.) Ltd.","1","Analyse the electricity data and report to the management in order to manage the EMS system effectively and minimize unwanted expenses. 
Should have the ability of installation/modifications and all maintenance activities in areas such as air conditioning, generators, air compressors etc in order to ensure that work is carried out as per requirements of the internal customer in order to create a favorable working environment.
Ensure adherence to energy saving initiatives in place in order to reduce waste and conserve energy
Coordinate with BEPZA or other relevant state departments to get the info. 
Assist in the preparation of the annual departmental budget and ensure that expenses are in line with requirements in order to meet the organizational  objectives
Plan & schedule preventive maintenance & breakdown maintenance and allocate resources, teams, provide required guidance to ensure smooth functioning of the
plant
Perform additional duties commensurate with the current role, as and when requested by management
Should have the experience in water treatment plant.","Analyse the electricity data and report to the management in order to manage the EMS system effectively and minimize unwanted expenses.","Full-time","Bachelor of Science (BSc) in EEE","Age 27 to 35 years","Chattogram","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Workshop Incharge","Engineer Architect","Intraco CNG Limited","2","We are looking for young and energetic workshop Incharge for our CNG Conversion workshop situated at Dhaka and Chittagong","Operation, monitor and overall Administrative work.","Full-time","B.Sc / Diploma in Automobile Engineering","Age 30 to 35 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Project Coordinator","Engineer Architect","Akij Steel Mills Ltd.","Not specific","We are seeking a highly organized and detail-oriented Project Coordinator to join our team. As a Project Coordinator, you will play a crucial role in supporting the successful execution and completion of pre-engineered steel building projects. You will work closely with the project team, including engineers, architects, contractors, and suppliers, to ensure effective coordination and communication throughout the project lifecycle. The ideal candidate should have strong project coordination skills and a background in the construction industry, preferably in the field of pre-engineered steel buildings and structures.","To be responsible for coordination of the different projects which includes site supervision, planning, managing, coordinating, evaluating, controlling & completing the project of Pre-Fabricated Structures timely by assuring ASML’s standard guide-line & quality.","Full-time","Bachelor of Science (BSc) in Civil Engineering","Age 26 to 34 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Manager - Maintenance (Mechanical) - Textile & Spinning","Engineer Architect","NASSA GROUP","Not specific","Maintenance Leadership: Lead and manage a team of maintenance technicians and engineers, providing guidance, training, and support to ensure high-quality maintenance work.
Equipment Maintenance: Develop and implement maintenance schedules, strategies, and procedures for all mechanical equipment used in the spinning process.
Troubleshooting: Quickly diagnose and resolve mechanical issues to minimize production downtime and ensure optimal equipment performance.
Preventive Maintenance: Establish and manage a preventive maintenance program to reduce the risk of equipment breakdowns and extend the lifespan of machinery.
Budget Management: Develop and manage the maintenance department budget, ensuring cost-effective operations while maintaining equipment reliability.
Safety Compliance: Ensure that all maintenance activities are carried out in compliance with safety regulations and best practices to create a safe working environment.
Documentation: Maintain accurate records of maintenance activities, equipment performance, and spare parts inventory.
Vendor Relations: Collaborate with suppliers and vendors to source spare parts, equipment, and services as needed.
Continuous Improvement: Identify opportunities for process improvement, cost reduction, and efficiency enhancement within the maintenance department.
Reporting: Provide regular reports and updates on equipment status, maintenance activities, and department performance to senior management.","Maintenance Leadership: Lead and manage a team of maintenance technicians and engineers, providing guidance, training, and support to ensure high-quality maintenance work.","Full-time","A Bachelor's degree (B.Sc) in Mechanical Engineering from a reputable public university.","Age 30 to 45 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
