"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"HR Manager","HR Org. Development","Runton Marketing Development Co. Ltd.","Not specific","*Consistently recruiting excellent staff.
*Maintaining a smooth onboarding process.
*Training, counseling, and coaching our staff.
*Resolving conflicts through positive and professional mediation.
*Carrying out necessary administrative duties.
*Conducting performance and wage reviews.
*Developing clear policies and ensuring policy awareness.
*Creating clear and concise reports.
*Giving helpful and engaging presentations.
*Maintaining and reporting on workplace health and safety compliance.
*Handling workplace investigations, disciplinary, and termination procedures.
*Maintaining employee and workplace privacy.
*Leading a team of junior human resource managers.","*Consistently recruiting excellent staff.","Full-time","Bachelor of Business Administration (BBA) in HRM","Age 25 to 40 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive-HR","HR Org. Development","Cityscape International Ltd","02","We are actively seeking dynamic and motivated executives who are eager to advance their career paths in HR fields.","Ensure day-to-day operations of the HR functions and duties.","Full-time","Bachelor of Business Administration (BBA) in HRM","Age 24 to 30 years","Dhaka (Gulshan)","Tk. 25000 - 35000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Head of HR & Admin","HR Org. Development","A Reputed TV Channel","Not specific","Excellent interpersonal, communication, and leadership skills, Demonstrated ability to manage and develop teams. Ability to think strategically and implement change, also have Strong analytical and problem-solving skills. A person working in a TV/Media business as a Head of HR position will be preferred.","Develop and implement HR policies and procedures that align with the organization's goals and objectives.","Full-time","Master of Business Administration (MBA)","Age 35 to 45 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Junior Officer","HR Org. Development","Centre for Development Innovation & Practices - CDIP","01","""Junior Officer"" to be recruited for CDIP, a reputed national development organization reportable to `Head of HR & OD and Administration`.","Support to new candidate recruitment & selection process from Job advertisement, Shortlisting of CV's, joining, placement & orientation, Prepare appointment letter;","Full-time","Master's degree, preferably in Human Resource Management. Candidates with Professional degree such as MBA/ Post Graduate degree/diploma in Human Resource Management will be given preference;","Age 30 to 35 years","Dhaka","Tk. 35000 - 40820 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive - HR & Admin","HR Org. Development","Divine IT Limited","01","We are seeking a dynamic and detail-oriented HR & Admin Executive to join our team. The ideal candidate will play a key role in managing our human resources and administrative functions, ensuring the smooth operation of our workplace. If you have a passion for HR, strong organizational skills, and a knack for problem-solving, we encourage you to apply.","Lead recruitment efforts, including crafting job descriptions, advertisements, applicant shortlisting, interviewing, and candidate selection.","Full-time","Bachelor of Business Administration (BBA) in Human Resource Management","Age at least 23 years","Dhaka (Uttara)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Human Resource Executive (Culture and People)","HR Org. Development","Ontik Technology","2","We are seeking a dedicated and strategic Human Resource Executive(Culture and People) to join our Human Resources Department. The Human Resource Executive(Culture and People) will lead efforts to engage, support, and retain our valuable employees, ensuring a positive workplace culture and low turnover rates.","Develop and implement comprehensive employee engagement programs, including surveys, feedback","Full-time","Bachelor's degree in Human Resources or a relevant field.","Age at least 25 years","Dhaka (GULSHAN 1)","Tk. 20000 - 30000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"AGM - HR, Admin & Compliance","HR Org. Development","Fakir Fashion Ltd.(New Project)","1","Taking full responsibility of Factory Administration including HR & Compliance. 
HR policies set up for the organization & implement in effective way as required buyer's Code of Conduct/Labor Law. 
Efficiently recruitment, training, counseling, orientation program & assign job description. 
Ensure HR issues - plan, develop, recruit, train, maintain and lead a team which also includes policies & procedures, disciplinary action etc. 
Preparing, organizing & managing factory audits as per buyer's social, ethical, environmental, technical, supply chain security & QMS requirement. 
Sound knowledge on process & procedures of certification of WRAP, BSCI, SADEX, C-TPAT & ISO 
Liaison with BGMEA, compliance auditors, fire service & civil defense, labor office, labor court as well as police station for smooth functioning of factory administration as the compliance demand. 
Prepare annual training calendar; ensure training are conducted as per schedule & effectiveness with proper documentation/register as demanded by the buyer's Code of Conduct. 
Interact with factory personals to develop awareness of compliance issues to achieve better compliance standard. 
Ensure the security and safety factors in the factory. 
Handle any crisis situation effectively and efficiently. 
Maintain Public Relations & Protocol of company. 
Execution of company's administrative plans, policies and decisions of the Management. 
Control & supervise the entire logistic support for factory operation","Taking full responsibility of Factory Administration including HR & Compliance.","Full-time","MBA in HRM","Age 40 to 45 years","Narayanganj","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive, Talent Acquisition","HR Org. Development","A Reputed Group of Company","Not specific","Post job Ads on Job Portal and assist teams in screening resumes from Job PortalCommunicate with Universities for a smooth recruitment pipelineCollect CVs from university organizations and clubs based on required skills and qualificationsInvite candidates for written test/ interviewPrepare interview assessment forms and adjust them with a particular CV then submit these to interviewersAssure candidate’s attendance and scheduling for an interview or written testAssist with a written test, interview management, and evaluationPromote positive candidate experience throughout the hiring processKeep a full record of candidates Prepare to join documents and Coordinate with new joinersEnsure Job Descriptions are in place for each individual positionCoordinate in the orientation ProcessPrepare a personal file of new joiners and send it to HRIS and a particular factory on timeCommunicate with new joiners about due document updates, collect those, and update them in the personal fileEnsure new joiner’s logistics before joiningAssist to ensure talent acquisition as per the requirement within the deadline","Post job Ads on Job Portal and assist teams in screening resumes from Job Portal","Full-time","BBA/MBA in Human Resource Management","Age at most 30 years","Dhaka (Uttara)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Asst. Manager / Deputy Manager  - HR & Admin","HR Org. Development","A Reputed Group of Industries.","Not specific","Those who engaged in HR  especially in Group of Companies are encouraged to apply.","Manpower planning, recruitment, selection, training, placement, follow-up & confirmation, developments etc.","Full-time","Master of Business Administration (MBA) in Human Resource Management","Age 35 to 50 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Assistant Manager, HR & Admin","HR Org. Development","Akij Takaful Life Insurance PLC","Not specific","We are looking for Assistant Manager for HR & Admin Department of Akij Takaful Life Insurance PLC. a concern of Akij Venture Group, who must have worked experience in the field of Compliance/ HR & Compliance/Social Compliance specially in Insurance  Industry.","Recruitment and Retention","Full-time","Bachelor of Business Administration (BBA) in HRM, Master of Business Administration (MBA) in HRM","Age 28 to 40 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
