"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Visa Executive","Hospitality  Travel  Tourism","Travelo","02","First World Country visa processing","","Full-time","At least 2 year(s)","Age 18 to 45 years","Dhaka","NegotiableFeel free to share your expectation if you are really experienced.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Visit Visa & Immigration Counsellor","Hospitality  Travel  Tourism","Professionals Consultancy Services","3","Professional Consultancy Services Ltd. is looking for dynamic and motivated individuals to join its ever growing team.","Maintain and build up good relationships with students/clients.","Full-time","Bachelor degree in any discipline","Age 28 to 38 years","Dhaka (Banani)","Tk. 20000 - 40000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Guest Service Associate","Hospitality  Travel  Tourism","Renaissance Dhaka Gulshan Hotel RDGH","Not specific","Welcome and acknowledge each and every guest with a smile, eye contact, and a friendly verbal greeting, using the guest's name when possible.
Actively listen and respond positively to guest questions, concerns, and requests using brand or property specific process (e.g., LEARN, PLEASED, Guest Response, LEAP, MYSTIQUE) to resolve issues, delight, and build trust.
Anticipate guests' service needs, including asking questions of guests to better understand their needs and watching/listening to guest preferences and acting on them whenever possible.
Address guests' service needs in a professional, positive, and timely manner.
Thank guests with genuine appreciation and provide a fond farewell.
Provide assistance to individuals with disabilities, including assisting visually, hearing, or physically-impaired individuals within guidelines (e.g., escorting them when requested, using words to explain actions, writing directions on paper, moving objects out of the way, or offering access to Braille or TDD phones).
Engage guests in conversation regarding their stay, property services, and area attractions/offerings.
Assist other employees to ensure proper coverage and prompt guest service.
Answer telephones using appropriate etiquette including answering the phone within 3 rings, answering with a smile in one's voice, using the callers' name, transferring calls to appropriate person/department, requesting permission before placing the caller on hold, taking and relaying messages, and allowing the caller to end the call.
Speak to guests and co-workers using clear, appropriate and professional language.
Discuss work topics, activities, or problems with coworkers, supervisors, or managers discreetly and quietly, avoiding public areas of the property.
Provide assistance to coworkers, ensuring they understand their tasks.
Talk with and listen to other employees to effectively exchange information.
Exchange information with other employees using electronic devices (e.g., pagers and two-way radios, email).
Activate room keys using electronic key machine (e.g., Saflok) and reissue new room keys to guests as necessary (e.g., lost key) by verifying guest identity and using electronic key machine.
Ensure rates match market codes and that any exceptions are documented and include an explanation.
Secure valid form of payment (e.g., credit card, cash) prior to issuing room key.
Process all guest check-ins by confirming reservations in computer system (e.g., Fidelio, PMS, FOSSE, OPERA), verifying guest identity, requesting form of payment, assigning room, and issuing room key in accordance with property policies and procedures.
Process all check-outs including express check-outs, resolving any late and disputed charges, settling account, retrieving room key, and requesting comments on guest's stay.
Accommodate requests for room changes when possible.
Communicate to appropriate staff that there are guests that are waiting for an available room.
Verify and adjust billing for guests.
Set up accurate accounts for each guest upon check-in according to their requirements (i.e., sharewiths, separate room/tax/incidentals, comp).
Assign room according to guest request and preferences whenever possible.
Ask for and enter Marriott Rewards information (e.g., number, name, address) when taking reservation or checking guest in.
Advise guest of any messages (e.g., voicemail, mail, faxes) received for them, and send to room if required.
Keep track of changes in room status (e.g., early check-out, late check-out, room transfer, unexpected stay over) for Housekeeping.
Clear departures in computer system to document that rooms are no longer occupied.","Welcome and acknowledge each and every guest with a smile, eye contact, and a friendly verbal greeting, using the guest's name when possible.","Full-time","Diploma in Hotel Management","Age 21 to 35 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive - Guest Service Agent (GSA)","Hospitality  Travel  Tourism","Neways International Company Limited","Not specific","Main Responsibilities are to increase the sales and improve the customer service.
Identify current and prospective sales opportunities for Super Hostel.
Attend all phone calls and provide all appropriate information to guests.
Consult with daily visitor and complete the booking process.
Responds to and handles guest problems and complaints.
Processing guest payments.
Provides services for customer satisfaction and retention.
Any other task assign by supervisor/management.","Main Responsibilities are to increase the sales and improve the customer service.","Full-time","Bachelor degree in any discipline, Diploma in Hotel Management","Age at least 23 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Business Development Manager (OTA Expert Air Ticketing)","Hospitality  Travel  Tourism","JSK Group","Not specific","We are looking for an energetic, target oriented and well qualified travel enthusiast to join our team and support the day-to-day activities of the Online Ticketing Agency (OTA).To succeed in this role, you must be skilled at building and maintaining relationships with airlines, clients and work to provide exceptional customer service to the clients. You will assume different roles at times, as a project coordinator, critical/creative thinker, storyteller, and communication expert.You will have a creative flair and will be able to effectively communicate with clients to understand the delicate needs of our premium client segment, and accordingly find the best travel arrangements for clients.","We are looking for an energetic, target oriented and well qualified travel enthusiast to join our team and support the day-to-day activities of the Online Ticketing Agency (OTA).","Full-time","Bachelor of Business Administration (BBA)","Age 25 to 35 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Manager","Hospitality  Travel  Tourism","Pinegrove immigration Consultancy","2","Pinegrove is one of the leading educational consultancy firms in Bangladesh serving since 2021 of excellence in services and trust. We are looking for dynamic and motivated individuals to join our team.
We are looking for a dedicated, compassionate Sr. Officer/Officer to join our visa application department. The responsibilities of the Sr. Officer/Officer will process the visa applications, maintain affiliation with stakeholders, keep track of new and updated knowledge of the specific country and their visa requirements, and deliver assigned tasks timely. The job also includes supporting the emotional and professional growth of applicants, developing and monitoring counseling support programs, and providing educational and vocational guidance.
To complete the process successfully, you should treat each individual with patience and compassion for the challenges they are facing. Ultimately, a top-notch Sr. Officer/Officer has a strong level of reviewing documents, detailed study of each application, and coordinating with other professionals to get more outcomes.","Pinegrove is one of the leading educational consultancy firms in Bangladesh serving since 2021 of excellence in services and trust. We are looking for dynamic and motivated individuals to join our team.","Full-time","Bachelor degree in any discipline","Age 25 to 35 years","Sylhet (Sylhet Sadar)","NegotiableOn-time salary disbursement.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Visa Processing Executive","Hospitality  Travel  Tourism","Fly Far International.","Not specific","A Visa Processing Officer is responsible for efficiently and accurately processing Visit Visa applications for individuals seeking entry into the specified countries (USA, Canada, UK, Australia, Europe, and Asia). This role involves assessing visa eligibility, verifying documents, and ensuring compliance with immigration laws and regulations. The Visa Processing Officer also provides information and assistance to applicants.","Under supervision, the consultant's main responsibility is to manage cases in assigned countries for a specific portfolio of clients.","Full-time","Bachelor degree in any discipline","Age 26 to 35 years","Dhaka","Tk. 25000 - 35000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Executive, Student Affairs","Hospitality  Travel  Tourism","Alberta Education","4","Probation Period: 6 Months (After successful completion of the probation period, the candidate will be a confirmed employee and can enjoy other benefits such as paid annual leave, festival bonuses and so on). Successful candidate may have a salary increase based on his or her performance after the probation period.","Handle phone inquiries from students interested in studying abroad","Full-time, Contractual, Internship","Bachelor degree in any discipline, Masters degree in any discipline","Age 25 to 38 years","Dhaka (DOHS Mohakhali)","Tk. 15000 - 20000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Branch Manager/ Assistant Manager","Hospitality  Travel  Tourism","Cafe Mango","Not specific","We wish to appoint an experienced Restaurant Manager to our growing team. The ideal candidate has to have a very good positive attitude, passion & professional knowledge about the food and beverage industry.
Workplace: Work at Restaurant / Management Office.","We wish to appoint an experienced Restaurant Manager to our growing team. The ideal candidate has to have a very good positive attitude, passion & professional knowledge about the food and beverage industry.","Full-time","Bachelor degree in any discipline.","Training/Trade Course: Hospitality.","Dhaka (GULSHAN 1)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Food & Beverage Manager","Hospitality  Travel  Tourism","Renaissance Dhaka Gulshan Hotel RDGH","1","Managing Beverage Operations
Ensures compliance with all food & beverage policies, standards and procedures by training, supervising, follow-up and hands on management.
Implements agreed upon beverage policy and procedures throughout the property.
Manages in compliance with all applicable beverage and liquor laws.
Understands beverage control including days on hand, perpetual inventory, bar pars, portion control, costs controls, beverage potentials, mix of sales analysis for beverage, issue & returns, food standards, and period end inventory.
Monitors adherence to all liquor control policies and procedures.
Attends pre- and post-convention meetings as needed to understand group needs.
Comprehends budgets, operating statements and payroll progress reports as needed to assist in the financial management of department.
Participates in the management of department's controllable expenses to achieve or exceed budgeted goals.
Manages to achieve or exceed budgeted goals.
Ensures compliance with all beverage policies, standards and procedures.
Maintains food handling and sanitation standards.
Manages inventories according to budget and business levels.
Assists with developing menus and promotions as necessary.
Leading Beverage Team
Trains staff on liquor control policies and procedures.
Supervises staffing levels to ensure that guest service, operational needs and financial objectives are met.
Ensures employees understand expectations and parameters.
Communicates critical information to the beverage staff regarding each event.
Ensuring Exceptional Customer Service
Provides excellent customer service.
Interacts with guests to obtain feedback on product quality and service levels.
Responds effectively to guest problems and complaints.
Empowers employees to provide excellent customer service.
Emphasizes guest satisfaction during all departmental meetings and focuses on continuous improvement.
Provides feedback to individuals in an effort to improve service performance.
Reviews comment cards and guest satisfaction results with employees.","Managing Beverage Operations","Full-time","Diploma in Hotel Management","Age 35 to 45 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
