"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"সিকিউরিটি গার্ড","NGO Development","Bangladesh Women Chamber of Commerce & Industry (BWCCI)","05","গাজীপুর ট্রেনিং সেন্টার (বিডব্লিউসিসিআই), ইসলামপুর, সাহাপাড়া, থানা: বাসন, গাজীপুর সদর উপজেলা, গাজীপুর ।","সঠিক নিরাপত্তা বাস্তবায়ন নিশ্চিত করা এবং নিয়মিতভাবে সংশ্লিষ্ট সুপারভাইজার এবং দায়িত্বপ্রাপ্ত কেন্দ্র ব্যবস্থাপককে অবহিত করা","Contractual","SSC","Age at least 25 years","গাজীপুর","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Logistics & Procurement Officer","NGO Development","Centre for Disability in Development (CDD)","Not specific","The Centre for Disability in Development (CDD) is a not for profit organization established in 1996 to develop a more inclusive society for persons with disabilities. CDD simultaneously builds technical capacities of the development stakeholders and the communities in how to be more inclusive whilst also enabling persons with a disability to participate in society by strengthening their leadership and providing them with essential rehabilitation and other supports.
CDD is one of the most renowned organizations in the field of disability-inclusive development. CDD`s work in Bangladesh is supported by international and national donor agencies/development partners. CDD offers an inclusive, amicable, and respectable work environment.
The Ramon Magsaysay Award (Asian version of the Noble prize) has been awarded to its Executive Director in 2010. In 2018, CDD was recognized by the Government of Bangladesh as one of the best organizations working on disability and development issues.","The Centre for Disability in Development (CDD) is a not for profit organization established in 1996 to develop a more inclusive society for persons with disabilities. CDD simultaneously builds technical capacities of the development stakeholders and the communities in how to be more inclusive whilst also enabling persons with a disability to participate in society by strengthening their leadership and providing them with essential rehabilitation and other supports.","Full-time, Contractual","Bachelor or Master Degree in any discipline;","Age at most 45 years","Dhaka (Savar)","Tk. 40000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Regional Coordinator","NGO Development","WeGro Technologies Limited","2","WeGro Technologies Limited is an agri fintech, connecting individuals and institutional financiers with farmers and their agricultural projects, whereby small holder farmers receive finance, input and market. To supervise the regional office of WeGro and oversee the region`s small-scale farmers` access to credit and financing, the company is looking for an experienced and analytically focused expert. The regional coordinator is responsible for enhancing communication between the input retail team, output supply chain team, and finance and accounting team at the regional offices. Through increasing repeat usage, the rate at which subscriptions are renewed, and the average ticket size, the regional coordinator will directly manage the farmer financing portfolio of WeGro and assure development while controlling credit risk and recovery. Also, the regional coordinator will oversee business operations and P&L for the ""WeGro Centers."" The regional coordinator will solely serve as a coordinator for the supply chain and agribusiness, collaborating closely with regional input and supply.","Management and coordination of the regional WeGro office overall","Full-time","Masters degree in any discipline","Age 30 to 40 years","Rajshahi, Rangpur","Tk. 40000 (Monthly)Salary review: Once in a year
Weekly holidays
2 yearly festival bonus""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Logistics & Supplies Assistant","NGO Development","Centre for Disability in Development (CDD)","Not specific","The Centre for Disability in Development (CDD) is a not for profit organization established in 1996 to develop a more inclusive society for persons with disabilities. CDD simultaneously builds technical capacities of the development stakeholders and the communities in how to be more inclusive whilst also enabling persons with a disability to participate in society by strengthening their leadership and providing them with essential rehabilitation and other supports.
CDD is one of the most renowned organizations in the field of disability-inclusive development. CDD`s work in Bangladesh is supported by international and national donor agencies/development partners. CDD offers an inclusive, amicable, and respectable work environment.
The Ramon Magsaysay Award (Asian version of the Noble prize) has been awarded to its Executive Director in 2010. In 2018, CDD was recognized by the Government of Bangladesh as one of the best organizations working on disability and development issues.
CDD Office is now accepting applications for the project of ""Ensuring the overall well-being and resilience of Rohingya and host community in a protected environment where children can learn and thrive"" Supported by AHP. The duration of the project up to December 2023, high possibility to extend (subject to Fund availability and NGO Affairs Bureau approval).","The Centre for Disability in Development (CDD) is a not for profit organization established in 1996 to develop a more inclusive society for persons with disabilities. CDD simultaneously builds technical capacities of the development stakeholders and the communities in how to be more inclusive whilst also enabling persons with a disability to participate in society by strengthening their leadership and providing them with essential rehabilitation and other supports.","Full-time, Contractual","Bachelor's Degree in Business Administration or any other discipline","Age at most 45 years","Cox's Bazar (Ukhia)","Tk. 23000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Officer - Internal Audit (Re-Advertisement)","NGO Development","Bandhu Social Welfare Society","01","Dedicate solid time under direct supervision of Asst. Manager-Internal Audit in planning, designing, reviewing, checking of required documents to ensure full compliance in view of Bandhu Financial procedures or donor requirement. 
Assist the Asst. Manager-Internal Audit to review, update and ensure the implementation of internal control policies and procedures.
Assist the Asst. Manager-Internal Audit to design internal audit plan for program and finance.
Review day to day transactions and give feedback to the respective person/s.
Perform internal audits of Bandhu's operations in line with approved annual plan to assess the effectiveness of internal controls & compliance with Bandhu's policies/procedures or donor's guideline. 
Review financial records and other reports, systems and controls maintained by Bandhu.
Contribute in preparing different reports concerning on financial views & analysis as well as producing audit report. 
Provide assistance to Asst. Manager - Internal Audit to undertake investigations on frauds and irregularities at management requests/ in line with Bandhu's and donor guideline and as follow up on regular audit findings. 
Document internal audit testing in audit work papers, detailing the procedures performed results of testing and conclusions reached.
Assist Asst. Manager-Internal Audit to identify control weaknesses and areas of actual or potential non-compliance with Bandhu and donor requirements and summarize these in an internal audit report, containing observations and internal control and procedural improvement recommendations.
Coordinate and conduct internal audits of Bandhu's partners and ensure they are in compliance with their policies and procedures.
Prepare and update of the fixed asset register and assist asset management of the organization and contribute to procurement procedures. 
Assist Finance department in complying financial and other policy & procedures reviewing necessary documents during final settlement of financial dealing. 
Work with Finance department in facing external audit or donor requirements
Any other activities as required / defined by the organization in terms of internal audit, internal control.","Dedicate solid time under direct supervision of Asst. Manager-Internal Audit in planning, designing, reviewing, checking of required documents to ensure full compliance in view of Bandhu Financial procedures or donor requirement.","Full-time","Master of Commerce (MCom) in Accounting and Finance","Age 25 to 30 years","Anywhere in Bangladesh","Tk. 39930 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Project Accountant","NGO Development","Centre for Disability in Development (CDD)","01","The Centre for Disability in Development (CDD) is a not for profit organization established in 1996 to develop a more inclusive society for persons with disabilities. CDD simultaneously builds technical capacities of the development stakeholders and the communities in how to be more inclusive whilst also enabling persons with a disability to participate in society by strengthening their leadership and providing them with essential rehabilitation and other supports.
CDD is one of the most renowned organizations in the field of disability-inclusive development. CDD`s work in Bangladesh is supported by international and national donor agencies/development partners. CDD offers an inclusive, amicable, and respectable work environment.
The Ramon Magsaysay Award (Asian version of the Noble prize) has been awarded to its Executive Director in 2010. In 2018, CDD was recognized by the Government of Bangladesh as one of the best organizations working on disability and development issues.
CDD Office is now accepting applications for Monitoring, Evaluation, Accountability and Learning (MEAL) Officer.
CDD Office is now accepting applications for the Project of ""Ensuring the overall well-being and resilience of Rohingya and host community in a protected environment where children can learn and thrive"" Supported by AHP. The contract duration of the position is upto December 2023, high possibility to extend (subject to Fund availability and NGO Affairs Bureau Approval).","The Centre for Disability in Development (CDD) is a not for profit organization established in 1996 to develop a more inclusive society for persons with disabilities. CDD simultaneously builds technical capacities of the development stakeholders and the communities in how to be more inclusive whilst also enabling persons with a disability to participate in society by strengthening their leadership and providing them with essential rehabilitation and other supports.","Full-time, Contractual","Bachelor degree in Accounting, Finance or business background","Age at most 45 years","Cox's Bazar (Ukhia)","Tk. 60000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Officer (Admin & Procurement)","NGO Development","Bangladesh Women Chamber of Commerce & Industry (BWCCI)","01","The Admin and Procurement Officer will manage and execute administrative and procurement activities associated with the project. Reporting directly to the Coordinator (Finance) and Chief Coordinator, He/she will have to:
Serve as key point of administrative contact and liaison with internal and external stakeholders,
Provide direct support to the project staff,
Conduct and administer the day-to-day activities of the project;
Facilitates logistics, resource management, procurement and administration procedures and documentation,
Maintain inventory of goods procured under the project;
Assist in database management;
Manage procurement related formalities as per the PPR, PPA and ADB's guideline
Perform miscellaneous job-related duties as assigned by the supervisor. She/he will also work on HR and administrative related tasks/ issues.","The Admin and Procurement Officer will manage and execute administrative and procurement activities associated with the project. Reporting directly to the Coordinator (Finance) and Chief Coordinator, He/she will have to:","Contractual","Master of Commerce (MCom)","Age 30 to 45 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Manager, Communication & Business Development","NGO Development","Alokito Poth","04","This role is designed to explore new donors/sponsors in country through a regular business development meeting.
Office Hours: Saturday to Thursday (10 AM to 6 PM).","This role is designed to explore new donors/sponsors in country through a regular business development meeting.","Full-time","Bachelor degree in any discipline","Age 18 to 40 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Monitoring & Evaluation Officer, Food Security Project with Host Community","NGO Development","World Renew Community Development Program (SATHI)","01","This position is primarily responsible for conducting the ongoing monitoring activities following the project guideline. To collect, manage, analyze all project data and produce relevant report. Actively involve and lead the different surveys and assessment, such as Annual assessment, Baseline and EOP, qualitative and quantities surveys and PRA surveys. Also,will actively participate at the project evaluation session. Responsible for developing reports of different surveys and monitoring sessions and disseminating the findings with different stakeholders and management for taking appropriate action.","","Full-time","Master of Social Science (MSS)","Age 27 to 40 years","Cox's Bazar (Teknaf)","Tk. 55000 - 56000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Inclusive Education Facilitator","NGO Development","Centre for Disability in Development (CDD)","Not specific","The Centre for Disability in Development (CDD) is a not for profit organization established in 1996 to develop a more inclusive society for persons with disabilities. CDD simultaneously builds technical capacities of the development stakeholders and the communities in how to be more inclusive whilst also enabling persons with a disability to participate in society by strengthening their leadership and providing them with essential rehabilitation and other supports.
CDD is one of the most renowned organizations in the field of disability-inclusive development. CDD`s work in Bangladesh is supported by international and national donor agencies/development partners. CDD offers an inclusive, amicable, and respectable work environment.
The Ramon Magsaysay Award (Asian version of the Noble prize) has been awarded to its Executive Director in 2010. In 2018, CDD was recognized by the Government of Bangladesh as one of the best organizations working on disability and development issues.
CDD Office is now accepting applications for the project of ""Ensuring the overall well-being and resilience of Rohingya and host community in a protected environment where children can learn and thrive"" Supported by AHP. The duration of the project up to December 2023, high possibility to extend (subject to Fund availability and NGO Affairs Bureau Approval).","The Centre for Disability in Development (CDD) is a not for profit organization established in 1996 to develop a more inclusive society for persons with disabilities. CDD simultaneously builds technical capacities of the development stakeholders and the communities in how to be more inclusive whilst also enabling persons with a disability to participate in society by strengthening their leadership and providing them with essential rehabilitation and other supports.","Full-time, Contractual","B.Sc in Education, B.Sc in Occupational Therapy, Special Education, Social Science or a related field have experience to work in disability inclusion or in inclusive education (Master's degree preferred)","Age at most 45 years","Cox's Bazar (Ukhia)","Tk. 66500 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
