"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Management Trainee - Factory Management","Others","Bay Footwear Limited","Not specific","Anticipating and providing administrative support to Top Senior Management
Good command of written and spoken English, and Mandarin(Basic speaking),
Can do attitude; Self-motivated and able to work independently
Ability to handle multiple tasks simultaneously and balance competing priorities is key
Able to handle business correspondence, arrange tight schedule professionally","Anticipating and providing administrative support to Top Senior Management","Full-time","Bachelor degree in any discipline","Age at least 21 years","Anywhere in Bangladesh","Tk. 45000 - 60000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"পেশেন্ট কেয়ার অ্যাটেনডেন্ট","Others","Prottasha Patient Care Ltd.","Not specific","দক্ষ-অদক্ষ পুরুষ মহিলা প্রত্যাশা পেশেন্ট কেয়ার লিমিটেড এ নিয়োগ।","","Full-time","","Age 20 to 35 years","বাংলাদেশের যেকোনো স্থানে","Tk. 18000 - 22000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"বাইক মেকানিক","Others","নিউ ওয়ার্ল্ড সেন্টার","Not specific","একটি সুনামধন্য বাইক সার্ভিসিং সেন্টাররে দক্ষ ও সৎ এবং কর্মঠ বাইক অভিজ্ঞ মেকানিক প্রয়োজন। ইন্টারভিউ দিতে ছবি সহ সিভি নিয়ে সরাসরি উল্লেখিত ফোন নম্বরে যোগাযোগ করুন।সরাসরি ইন্টারভিউ দিতে যোগাযোগ করুনঃ 01910254926 অথবা 01890934392 এই নম্বরে।","একটি সুনামধন্য বাইক সার্ভিসিং সেন্টাররে দক্ষ ও সৎ এবং কর্মঠ বাইক অভিজ্ঞ মেকানিক প্রয়োজন। ইন্টারভিউ দিতে ছবি সহ সিভি নিয়ে সরাসরি উল্লেখিত ফোন নম্বরে যোগাযোগ করুন।","Full-time","5 to 6 year(s)","Age 20 to 50 years","বাংলাদেশের যেকোনো স্থানে","Negotiableযথেষ্ট স্মার্ট বেতন প্রদান করা হবে।""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"হেল্পার / ওয়ার্কার","Others","Anonda Printing Press","Not specific","প্রতিষ্ঠানের নির্ধারিত কাজ গুলো সঠিকভাবে করা।
কাজের স্থান, মেশিনারী, কাজের জন্য প্রয়োজনীয় অন্যান্য জায়গা (বাথরুম, পানি পানের ব্যবস্থা, টয়লেট, খাবারের জায়গা) সব সময় পরিস্কার রাখতে হবে।
শ্রমিকের আচার আচরণে ভদ্র ও বিনয়ীভাবে থাকতে হবে।","প্রতিষ্ঠানের নির্ধারিত কাজ গুলো সঠিকভাবে করা।","Full-time","JSC, HSC","Age 22 to 40 years","মানিকগঞ্জ (সিংগাইর)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Executive (VAT)","Others","Dynasty Furnishing Centre Ltd.","2","VAT","All VAT related activities which is require for outlet based retail organization.","Full-time","Bachelor of Business Administration (BBA)","Age 25 to 50 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"সাইট সুপারভাইজার","Others","Mahim Construction and Development","Not specific","সকল নির্মাণ কার্যক্রমের অগ্রগতি তদারকি করা।
সাইটের কর্মীদের নিয়োগ এবং কর্মক্ষমতা মূল্যায়ন করা।
সমস্ত সরঞ্জাম কাজের ক্রম এবং ভাল অবস্থায় আছে তা নিশ্চিত করা
 জরুরী অবস্থায় প্রাথমিক চিকিৎসা করা।
সমস্ত নির্মাণ সাইট শ্রমিকদের একটি সঠিক উপস্থিতি রিপোর্ট বজায় রাখা।","সকল নির্মাণ কার্যক্রমের অগ্রগতি তদারকি করা।","Full-time","HSC","Age 26 to 40 years","মানিকগঞ্জ (মানিকগঞ্জ সদর)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"বাইক প্রশিক্ষক","Others","Best Tutor","2","আগ্রহী প্রার্থীদের কে অবশ্যই ভদ্র, মোটামুটি শিক্ষিত এবং মার্জিত হতে হবে। প্রাইভেট কার এবং মোটরসাইকেলের পেশাদার ড্রাইভিং লাইসেন্স থাকতে হবে। ধানমন্ডি, গুলশান, মিরপুর এবং উত্তরা ব্রাঞ্চ সহ অন্যান্য ব্রাঞ্চে পার্মানেন্টলি/খন্ডকালীন ক্লাস দেওয়ার মতন মন মানসিকতা থাকতে হবে।কলাবাগান এ মেস নিয়ে থাকতে হবে বা কলাবাগান এর আশেপাশে থাকতে হবে","","Full-time","HSC in any","Age 18 to 55 years","ঢাকা (কলাবাগান)","Tk. 11000 - 12000 (Monthly)অফিস থেকে অফিসের প্রয়োজনীয়  যাতায়াত ভাড়া এবং মোবাইল বিল প্রদান করা হবে।  অফিস থেকে একটি ব্যক্তিগত মোবাইল প্রদান করা হবে।""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Assistant Manager - Export (Commercial)","Others","Pretty Group","Not specific","We are looking for a dynamic and experienced Assistant Manager for the Export section in our Commercial Department.Job location will be Head Office, Gulshan, Dhaka.","We are looking for a dynamic and experienced Assistant Manager for the Export section in our Commercial Department.","Full-time","Minimum Graduation in any discipline from any reputed institution.","Age at least 25 years","Dhaka (GULSHAN 2)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Student Consultant","Others","Akashbari Holidays","Not specific","Provide comprehensive academic guidance to international students, helping them select appropriate courses and programs based on their goals and interests.
	Assist students in researching and selecting suitable universities or colleges, considering factors such as academic reputation, program offerings, location, and financial considerations.
	Guide students through the application process, including filling out application forms, preparing required documents, and adhering to application deadlines.
	Advise students on standardized tests (e.g., SAT, GRE, TOEFL, IELTS) requirements and offer resources for test preparation.
	Help students explore financial aid options, scholarships, and grants to make higher education more affordable.
	Assist students with visa applications and provide guidance on immigration regulations, ensuring a smooth transition to their destination country.
	Offer insights and resources to help students adapt to their new environment, including tips on cultural integration and coping with homesickness.
	Provide career counseling and mentorship, helping students set realistic career goals and choose appropriate majors or fields of study.
	Maintain accurate records of student interactions, application progress, and documentation to ensure compliance with regulations.
	Build and maintain relationships with universities, colleges, and educational institutions to stay up-to-date with their programs and admissions requirements.
	Stay current on trends and changes in the education sector and immigration policies to provide up-to-date information to students.
	Collaborate with colleagues to ensure a seamless experience for students and contribute to the growth and success of Akashbari Global Service.
	Gather feedback from students to continually improve the services offered and identify areas for enhancement.","Provide comprehensive academic guidance to international students, helping them select appropriate courses and programs based on their goals and interests.","Full-time","Bachelor degree in any discipline","Age at least 25 years","Dhaka (Banani)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Commercial Manager","Others","Barisal Electric Power Company Ltd.","Not specific","Co-ordinate to get all the relevant approvals for the power plant projects.
Maintain communication/liaison with all the government authorities.
Plan for proper progresses of the projects, monitor the project progresses and take action plans depending upon the requirements.
Responsible for agreement execution, including but not limited to obtaining government authorizations, documents registration, tax exemption and etc.
Find out defects and flaws and take proper corrective actions. Co-ordinate with different stake holders to provide necessary decisions in time to run the project.
Conduct meeting regularly with project personnel and to find out challenges and to eliminate those.
Supervise construction works on regular basis to ensure that jobs are done with proper quality, standard and in consistent with Working Drawings.
Co-ordinate with external stake holders.
Assist in dealing with Company daily affairs, including but not limited to archives arrangement, document translation and etc.","Co-ordinate to get all the relevant approvals for the power plant projects.","Full-time","Bachelor degree in any discipline, Masters degree in any discipline","Age 24 to 45 years","Barishal, Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
