"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Manager, R&D (Solar Cell & Energy Generation)","Research Consultancy","East Coast Group","1","Work with internal & external stakeholders to identify and refine needs, formulate system requirements and develop method as per application in Solar PV module/ Renewable energy business.
Support in Technology roadmap for development of next generation products in PV Solar Module to support both off grid and on grid requirements.
Execute the new innovation of energy efficiency and application of converter typologies.
Lead the solar PV module design, component layout, prototype build up and subsequent verification, setup parameter for accessories & sourcing of equipment's and validation through testing in the R&D laboratories and develop requirements as per certification body.","Work with internal & external stakeholders to identify and refine needs, formulate system requirements and develop method as per application in Solar PV module/ Renewable energy business.","Full-time","Minimum B.Sc in EEE from reputed institution.","Age at least 33 years","Dhaka (Ashulia)","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Asst. Manager/ Deputy Manager (R&D- Structure & Design)","Research Consultancy","East Coast Group","1","Work with internal and external stakeholders to identify and refine needs, formulate system requirements and develop method as per application in Solar PV module/ Renewable Energy Business.
Design and Validate for development of next generation products in PV Solar Module to support both off grid and on grid requirements.
Develop new designs to minimize cost as per the requirement of Energy generation efficiency and international certification body.
Proper simulation of developed design per real time application.","Work with internal and external stakeholders to identify and refine needs, formulate system requirements and develop method as per application in Solar PV module/ Renewable Energy Business.","Full-time","Minimum B.Sc In EEE/ ME from reputed institution.","Age at least 30 years","Dhaka (Ashulia)","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive Director, Direct Tax","Research Consultancy","PricewaterhouseCoopers Bangladesh Private Limited","Not specific","PwC provides professional services, including audit and assurance, tax and consulting, covering such areas as cybersecurity and privacy, human resources, deals, and forensics to clients in Bangladesh. We are hiring an Executive Director, Direct Tax to join the team in Dhaka.
We are seeking an Executive Director to lead the strategic growth of our Direct Tax practice, driving client relationships, business development, and compliance engagements.","PwC provides professional services, including audit and assurance, tax and consulting, covering such areas as cybersecurity and privacy, human resources, deals, and forensics to clients in Bangladesh. We are hiring an Executive Director, Direct Tax to join the team in Dhaka.","Full-time","Bachelor of Business Administration (BBA) in Finance","Age at most 60 years","Anywhere in Bangladesh","NegotiableUSD 94,700 - USD 98,400 (Annually)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Officer, Canada Immigration Program","Research Consultancy","Global Citizen Education Inc.","5","GCEI is one of the leading educational consultancy firms in Bangladesh serving since 2017 of excellence in services and trust. We are looking for dynamic and motivated individuals to join our team.We are looking for a dedicated, compassionate Sr. Officer/Officer to join our visa application department. The responsibilities of the Sr. Officer/Officer will process the visa applications, maintain affiliation with stakeholders, keep track of new and updated knowledge of the specific country and their visa requirements, and deliver assigned tasks timely. The job also includes supporting the emotional and professional growth of applicants, developing and monitoring counseling support programs, and providing educational and vocational guidance.To complete the process successfully, you should treat each individual with patience and compassion for the challenges they are facing. Ultimately, a top-notch Sr. Officer/Officer has a strong level of reviewing documents, detailed study of each application, and coordinating with other professionals to get more outcomes.","GCEI is one of the leading educational consultancy firms in Bangladesh serving since 2017 of excellence in services and trust. We are looking for dynamic and motivated individuals to join our team.","Full-time","Bachelor degree in any discipline","Age 25 to 40 years","Dhaka (Banani)","NegotiableOn-time salary disbursement""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Market Research & Analytics Deputy Manager/ Manager","Research Consultancy","Fiber @ Home Ltd.","Not specific","Design and execute comprehensive market research initiatives, including competitor analysis, customer segmentation, trend forecasting, and demand analysis.
Lead, mentor, and manage a team of market researchers and analysts also measuring their performance
Utilize various research methodologies, both qualitative and quantitative, to gather actionable insights and present findings
Collaborate cross-functionally with product development, marketing, sales, and other teams to align research findings with business objectives and product strategies.
Monitor industry trends, technological advancements, and competitive scenery to identify potential opportunities and threats.
Drive the development of innovative price concepts by applying insights from market research, ensuring alignment with customer preferences and needs.
Analyze the effectiveness of marketing, communication programs, and strategies
Improve existing business case methods or develop new concepts and their formulation
Stay up-to-date with emerging research methodologies, tools, and technologies to continuously improve the effectiveness and efficiency of the market research process.
Conducting in-depth market analysis, identifying emerging trends, and explaining insights into actionable strategies
Analyzing ""New products"" for marketing to target customers and formulate new budgets
Prepare and present regular reports and presentations to top management, summarizing key findings, recommendations, and potential market entry strategies.","Design and execute comprehensive market research initiatives, including competitor analysis, customer segmentation, trend forecasting, and demand analysis.","Full-time","Master of Business Administration (MBA) in Finance, Marketing, Bachelor of Business Administration (BBA) in Finance, Marketing","Age 29 to 37 years","Dhaka (GULSHAN 1)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Counselor","Research Consultancy","UniGlobe Consulting","3","Giving all the required information to Clients.
Resolving client queries and problems.
Managing and guiding junior consultants. 
Conducting surveys and studies related to specific industries.
Performing analyses of data collected from surveys.
Participating in meetings with clients to discuss project objectives, budgets, and timelines.
Providing consulting services to clients by identifying problems and recommending solutions.","Giving all the required information to Clients.","Full-time","Bachelor degree in any discipline","Age 22 to 30 years","Dhaka (GULSHAN 2)","Tk. 20000 - 30000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Research Analyst/ Research Officer","Research Consultancy","Emerging Credit Rating Limited","Not specific","Collect operational and financial data from customer.
Conduct field visit and fill prescribed visit form of ECRL.
Conduct telephone interview with client.
Analyze credit data and financial statements/information and report it to supervisor. 
Generate financial ratios to evaluate customer's financial status.
Conducting desktop research, and using books, journal articles, newspaper sources, questionnaires, surveys, polls, and interviews to gather data.
Prepare credit analysis report and interpretation of financial statements and related reports.","Collect operational and financial data from customer.","Full-time","Bachelor of Business Administration (BBA)","Age at most 35 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"প্রশিক্ষক (দর্জি/কুটির শিল্প)","Research Consultancy","আবেদ-শিরিন ফাউন্ডেশন","238","আবেদ শিরিন ফাউন্ডেশন একটি আত্মকর্মসংস্থান ও সেবামূলক প্রতিষ্ঠান। প্রতিষ্ঠান কার্যক্রম পরিচালনার জন্য এবং উদ্যোক্তা সৃষ্টির মাধ্যমে আত্মকর্মসংস্থান প্রকল্প বাস্তবায়নের লক্ষ্যে খুলনা জেলার প্রতিটি উপজেলায় কিছুসংখ্যক শিক্ষানবিশ/ দক্ষ জনবল নিয়োগ করা হবে। বেতন-ভাতা আলোচনা সাপেক্ষে।
বি: দ্র- কোন ধরনের জামানতের প্রয়োজন নেই  ।","আবেদ শিরিন ফাউন্ডেশন একটি আত্মকর্মসংস্থান ও সেবামূলক প্রতিষ্ঠান। প্রতিষ্ঠান কার্যক্রম পরিচালনার জন্য এবং উদ্যোক্তা সৃষ্টির মাধ্যমে আত্মকর্মসংস্থান প্রকল্প বাস্তবায়নের লক্ষ্যে খুলনা জেলার প্রতিটি উপজেলায় কিছুসংখ্যক শিক্ষানবিশ/ দক্ষ জনবল নিয়োগ করা হবে। বেতন-ভাতা আলোচনা সাপেক্ষে।","Full-time","SSC","Age at least 18 years","খুলনা, বাগেরহাট, সাতক্ষীরা","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Research & Development Executive","Research Consultancy","Biddabari","10","We are looking for open-minded, disciplined, intelligent and honest team members who are willing to work together with us for a Long Time.
The Academic Specialists will be responsible for delivering high-quality learning services to our platform users. The position requires excellent communication and interpersonal skills, strong subject knowledge in their respective fields, and a passion for deep learning.","We are looking for open-minded, disciplined, intelligent and honest team members who are willing to work together with us for a Long Time.","Full-time","Masters degree in any discipline","Age 28 to 35 years","Dhaka","Tk. 15000 - 30000 (Monthly)-Age at least 28 years (above 30 years will get preference)
The Candidates who are willing to build their career with a progressive Start-up and want to take challenges to develop and improve personal and professional skill will be highly appreciated. And The Applicants who passed at least once in BCS or Govt. Bank preliminary exam will get preference.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Analyst / Consultant, Management Consultancy","Research Consultancy","PricewaterhouseCoopers Bangladesh Private Limited","Not specific","PwC Bangladesh provides industry-focussed advisory services to public, private and government clients. The Management Consulting Group in PwC Bangladesh is committed to delivering value to our clients and ensuring long-term success. Our solutions and offerings spread across areas like Strategy, People; Change, Operations, Finance Effectiveness and Sustainability.
This position - which would be based out of Dhaka - calls for dynamic and aggressive consultants who would be engaged with our esteemed clients for the purpose of value delivery, initially under the supervision of the project managers. Delivery is the most critical] part of consulting business and our consultants need to ensure that they always meet the value that we have promised to deliver to our clients in every consulting engagement thereby strengthening the relationships with them.","PwC Bangladesh provides industry-focussed advisory services to public, private and government clients. The Management Consulting Group in PwC Bangladesh is committed to delivering value to our clients and ensuring long-term success. Our solutions and offerings spread across areas like Strategy, People; Change, Operations, Finance Effectiveness and Sustainability.","Full-time","Bachelor of Business Administration (BBA)","Age at most 35 years","Anywhere in Bangladesh","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
