"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Receptionist","Secretary Receptionist","AKS Animal Care Centre","Not specific","AKS Animal Care Centre is a full-service animal care centre under AK Khan Health-Care Trust(AKKHT) that aims to provide the best quality medical care for pet animals. With the motto, `compassionate love for all walks of life`, our primary focus is to save animal lives, no matter the time, cost, or circumstance. We strive to ensure that no animal is neglected from proper care; that they are treated with respect and empathy.","Welcomes visitors & Patients by greeting them, in person or on the telephone; answering or referring inquiries.","Full-time","Minimum HSC completed. (Graduation will be an added advantage)","Strong communication skills in both Bangla and English.","Anywhere in Bangladesh","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Personal Secretary","Secretary Receptionist","Dong Bang Facilities (BD) Ltd.","1","Provide administrative support to the employer, including managing schedules, making travel arrangements, and responding to emails and phone calls
Organize and maintain files and records, both physical and digital
Conduct research on behalf of the employer and prepare reports and presentations as needed
Manage communication with clients, vendors, and other stakeholders
Handle confidential information with discretion and professionalism
Assist with personal tasks as needed, such as running errands or managing household staff
Responsible for gathering information & doing research on various topics.
To always be with appointed Director whenever Director is working.","Provide administrative support to the employer, including managing schedules, making travel arrangements, and responding to emails and phone calls","Full-time","Bachelor degree in any discipline","Age 26 to 35 years","Anywhere in Bangladesh","Tk. 20000 - 40000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Personal Secretary to Group Managing Director","Secretary Receptionist","Sheba Group","Not specific","Maintain the schedules and diary of the Managing Director (MD) and ensure all appointments and meetings are updated.
Prepare and monitor daily program of MD.
To monitor national and international communications.
Arrange (including selection of date, time, and location) internal and external meetings.
Compose and type agendas and correspondence for special events, committee meetings and development activities.
Responsible for handling all travel arrangements (domestic and international) including hotel accommodations, airline reservations, rental cars, office & site meeting venues.
Sending meeting confirmation emails; prepare and distribute meeting materials.
Prepare various materials when requested, using PowerPoint, Word, and Excel.
Guest information received.","Maintain the schedules and diary of the Managing Director (MD) and ensure all appointments and meetings are updated.","Full-time","Bachelor degree in any discipline","Age 22 to 30 years","Dhaka (Dhanmondi)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"রিসিপশনিস্ট (মহিলা)","Secretary Receptionist","Marie Stopes Bangladesh (MSB)","01","মেরী স্টোপস বাংলাদেশ বিগত ৩ দশকের বেশী সময় ধরে বাংলাদেশে স্বাস্থ্যসেবা প্রদানের মাধ্যমে মাতৃমৃত্যু এবং শিশুমৃত্যুর হার কমিয়ে আনার ক্ষেত্রে বিশেষ অবদান রেখেছে।  মেরী স্টোপস বাংলাদেশ যুক্তরাজ্যের লন্ডনভিত্তিক আন্তর্জাতিক স্বাস্থ্যসেবা প্রতিষ্ঠান যা ৪টি মহাদেশের (এশিয়া, আফ্রিকা, ইউরোপ এবং ল্যাটিন আমেরিকা) ৩৭টি দেশে সেবা প্রদান করে আসছে। মেরী স্টোপস বাংলাদেশ এর অধীনে উক্ত জেলায় অবস্থিত ক্লিনিকে উল্লেখিত পদের জন্য দক্ষ ও অভিজ্ঞ কর্মী আবশ্যক:
কর্মস্থল: মেরী স্টোপস ম্যাট্যার্নিটি ক্লিনিক- গাজীপুর","মেরী স্টোপস বাংলাদেশ বিগত ৩ দশকের বেশী সময় ধরে বাংলাদেশে স্বাস্থ্যসেবা প্রদানের মাধ্যমে মাতৃমৃত্যু এবং শিশুমৃত্যুর হার কমিয়ে আনার ক্ষেত্রে বিশেষ অবদান রেখেছে।  মেরী স্টোপস বাংলাদেশ যুক্তরাজ্যের লন্ডনভিত্তিক আন্তর্জাতিক স্বাস্থ্যসেবা প্রতিষ্ঠান যা ৪টি মহাদেশের (এশিয়া, আফ্রিকা, ইউরোপ এবং ল্যাটিন আমেরিকা) ৩৭টি দেশে সেবা প্রদান করে আসছে। মেরী স্টোপস বাংলাদেশ এর অধীনে উক্ত জেলায় অবস্থিত ক্লিনিকে উল্লেখিত পদের জন্য দক্ষ ও অভিজ্ঞ কর্মী আবশ্যক:","Full-time","প্রার্থীকে যে কোন বিভাগে ন্যূনতম স্নাতক পাশ হতে হবে। মাস্টার্স পাশ প্রার্থীদের অতিরিক্ত যোগ্যতা হিসেবে বিবেচিত হবে।","Only females are allowed to apply","গাজীপুর","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Front Desk Officer (Receptionist)","Secretary Receptionist","NEW LIFE GENERAL HOSPITAL(KERANIGANJ)","1","Welcoming patients, pharmaceutical representatives and vendors on the telephone and in-person visitors and answering patient inquires.
Scheduling appointments for patients.
Maintaining records and accounts of patients.  
Assisting patients in filling medical forms.","Welcoming patients, pharmaceutical representatives and vendors on the telephone and in-person visitors and answering patient inquires.","Full-time","Bachelor degree in any discipline","Age 22 to 35 years","Dhaka (Keraniganj)","Tk. 12000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"অফিস রিসিপশনিষ্ট","Secretary Receptionist","Mahim Construction and Development","Not specific","প্রতিষ্ঠানে কোন অতিথি আসলে তাকে অভ্যর্থনা জানানো।
প্রতিষ্ঠানের অতিথিকে প্রয়োজনীয় তথ্য জানানো;
অতিথিদের লগবুক সংরক্ষণ করা।
প্রতিষ্ঠানের ফোন কল রিসিভ করা ও প্রয়োজনে কল ফরোয়ার্ড করা।
ক্ষেত্রবিশেষে রিপোর্ট তৈরির কাজ করা।","প্রতিষ্ঠানে কোন অতিথি আসলে তাকে অভ্যর্থনা জানানো।","Full-time","HSC","Age 20 to 30 years","মানিকগঞ্জ (মানিকগঞ্জ সদর)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Personal Secretary to MD","Secretary Receptionist","Oyster Engineering","1","Organize MD work schedule to maximize their use of timeKeep track of daily personal & office schedule as per instructionHandle all phone calls and mail, screening as appropriate to ensure MD's time is used efficientlyArrange meetings and seminars, ensuring as appropriate that participants have all relevant papers in advance and ensuring specifically that the Managing is well prepared for meetingsTaking minutes at meetings, transcribe and present back to attendees accurately and in the appropriate formatOrganizing all Social & Official Functions with keep proper note to maintain proper communication with MD.Provide a service that is in line with the MD's work habits and preferencesAny other task assigned by the authority.","Organize MD work schedule to maximize their use of time","Full-time","Bachelor degree in any discipline","Age 24 to 30 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Receptionist (Front Desk)","Secretary Receptionist","A Reputed GROUP OF INDUSTIRES","1","This position will be responsible for all the front desk activities related to the business.","Receiving visitors/customers at the front desk by greeting and welcoming them courteously & appropriately.","Full-time","Bachelor degree in any discipline","Age 22 to 30 years","Dhaka (Gulshan)","Tk. 20000 - 22000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Receptionist (Female)","Secretary Receptionist","Signature Aesthetic And Laser Center","Not specific","Office Hours: 10:30 am - 8 pm.","Must have knowledge about communication.","Full-time","HSC, Bachelor degree in any discipline","Age at least 18 years","Dhaka (Dhanmondi)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Front Desk Officer","Secretary Receptionist","CRP","01","Guide patients to specific service delivery points.
Listen to patients' history and complications, and provide them with appropriate advice about available CRP services.
Act as an information booth for patients and visitors regarding CRP services, as required.
Act as the first contact point for new patients and visitors, as required.
Assist receptionists and others in managing patients.
Direct and guide patients to the correct specialists, doctors, therapists, or relevant department/unit/branch/wing.
Respond with the appropriate standard of care for specific cases.
Ensure that patients, guardians, and visitors are greeted and accorded due support and cooperation promptly and courteously.
Be readily available at all times to address problems, emergencies, or complaints.
Handle phone queries and forward them to the relevant department/unit/branch/wing when needed.
Ensure effective liaison with visitors, patients, and relevant departments (e.g., housekeeping) and maintain all documentation.
Coordinate with the admin and Research, Monitoring & Evaluation department to ensure a congenial environment at CRP service areas.
Ensure the satisfaction of patients and visitors.
Check the cash of every receptionist after their duties every day and maintain the proper financial procedures to deposit those funds in the bank.
Plan the roster for all receptionists every month.
Check and input all therapists' monthly patients' schedules in the PDMS within the first quarter of each month.
Supervise all the receptionists and plan all receptionists' annual leave for every month as the frontline supervisor.
Perform any other office duties assigned by the supervisor.","Guide patients to specific service delivery points.","Full-time","Minimum graduation in a relevant discipline. Additional training, degrees, or qualifications in the relevant field will be an added advantage.","Age 25 to 35 years","Dhaka (Savar)","Tk. 26306 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
